,html_url,number,labels,state,created_at,pull_request,comments,title,body,1,2,3,4,5,6,7,8,9,10
1062,https://github.com/allenai/allennlp/issues/2856,2856,[],closed,2019-05-17 12:31:22+00:00,,1,Multi Labels prediction using Allennlp,"Hi,
We have a use case where we need to predict the label as well as the classes within the label. It is like predicting two columns (multi label target prediction). I am not sure whether I can use the existing library example for my requirement.
Please suggest me whether it's possible using allennlp.
Thanks in Advance",,,,,,,1,,,1
47,https://github.com/allenai/allennlp/issues/654,654,[],closed,2017-12-30 02:49:40+00:00,,3,unlabeled test set cannot be included in training vocabulary ,"In the ""Kaggle competition"" use case, the test dataset has no labels. This means that if you try to specify `test_data_path` (e.g. in order to get the embeddings for that vocabulary), the trainer will crash with

```
allennlp.common.checks.ConfigurationError: 'You cannot construct a Dataset with non-homogeneous Instances.'
```

I was able to workaround this by having the `DatasetReader` generate fake labels, but that's not a good solution.",,,,,,,,,,1
87,https://github.com/allenai/allennlp/issues/817,817,[],closed,2018-02-10 01:08:37+00:00,,1,The NER JS code doesn't check for tag type consistency when creating spans from BIOUL labels,"This means that the visual demo output does not match the output of running a model locally in the case that the tag sequence is ill defined. We should implement constrained decoding to fix this, because it should also improve the model.

Here is the relevant code:

https://github.com/allenai/allennlp/blob/master/demo/src/components/NamedEntityComponent.js#L172",,,,,,,,,,1
195,https://github.com/allenai/allennlp/issues/1109,1109,[],closed,2018-04-19 23:07:18+00:00,,8,Semantic role labeling prediction doesn't work,"The prediction example on http://allennlp.org/models throws an exception on cbe58971a15aaf6a80d3cc53b1e7c4a9ba4e089c.

```
$ echo '{""sentence"": ""Did Uriah honestly think he could beat the game in under three hours?""}' > examples.jsonl
$ python -m allennlp.run predict https://s3-us-west-2.amazonaws.com/allennlp/models/srl-model-2017.09.05.tar.gz examples.jsonl

/Users/michael/miniconda3/envs/allennlp/lib/python3.6/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
2018-04-19 16:06:02,107 - INFO - allennlp.models.archival - extracting archive file /Users/michael/.allennlp/datasets/aHR0cHM6Ly9zMy11cy13ZXN0LTIuYW1hem9uYXdzLmNvbS9hbGxlbm5scC9tb2RlbHMvc3JsLW1vZGVsLTIwMTcuMDkuMDUudGFyLmd6.e53f556a3939b010393f1ed059dd0c61-7 to temp dir /var/folders/v5/tlk1sh3d0l94fcmz10vtzmyh0000gn/T/tmpgrwwn00z
2018-04-19 16:06:03,180 - INFO - allennlp.data.vocabulary - Loading token dictionary from /var/folders/v5/tlk1sh3d0l94fcmz10vtzmyh0000gn/T/tmpgrwwn00z/vocabulary.
2018-04-19 16:06:03,265 - INFO - allennlp.common.params - model.type = srl
2018-04-19 16:06:03,266 - INFO - allennlp.common.params - model.text_field_embedder.type = basic
2018-04-19 16:06:03,266 - INFO - allennlp.common.params - model.text_field_embedder.tokens.type = embedding
2018-04-19 16:06:03,266 - INFO - allennlp.common.params - model.text_field_embedder.tokens.num_embeddings = None
2018-04-19 16:06:03,266 - INFO - allennlp.common.params - model.text_field_embedder.tokens.vocab_namespace = tokens
2018-04-19 16:06:03,267 - INFO - allennlp.common.params - model.text_field_embedder.tokens.embedding_dim = 100
2018-04-19 16:06:03,267 - INFO - allennlp.common.params - model.text_field_embedder.tokens.pretrained_file = None
2018-04-19 16:06:03,267 - INFO - allennlp.common.params - model.text_field_embedder.tokens.projection_dim = None
2018-04-19 16:06:03,267 - INFO - allennlp.common.params - model.text_field_embedder.tokens.trainable = True
2018-04-19 16:06:03,268 - INFO - allennlp.common.params - model.text_field_embedder.tokens.padding_index = None
2018-04-19 16:06:03,268 - INFO - allennlp.common.params - model.text_field_embedder.tokens.max_norm = None
2018-04-19 16:06:03,268 - INFO - allennlp.common.params - model.text_field_embedder.tokens.norm_type = 2.0
2018-04-19 16:06:03,268 - INFO - allennlp.common.params - model.text_field_embedder.tokens.scale_grad_by_freq = False
2018-04-19 16:06:03,268 - INFO - allennlp.common.params - model.text_field_embedder.tokens.sparse = False
Traceback (most recent call last):
  File ""/Users/michael/hack/allenai/allennlp/allennlp/common/params.py"", line 94, in pop
    value = self.params.pop(key)
KeyError: 'encoder'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/michael/miniconda3/envs/allennlp/lib/python3.6/runpy.py"", line 193, in _run_module_as_main
    ""__main__"", mod_spec)
  File ""/Users/michael/miniconda3/envs/allennlp/lib/python3.6/runpy.py"", line 85, in _run_code
    exec(code, run_globals)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/run.py"", line 18, in <module>
    main(prog=""python -m allennlp.run"")
  File ""/Users/michael/hack/allenai/allennlp/allennlp/commands/__init__.py"", line 65, in main
    args.func(args)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/commands/predict.py"", line 159, in _predict
    predictor = _get_predictor(args)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/commands/predict.py"", line 105, in _get_predictor
    overrides=args.overrides)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/models/archival.py"", line 149, in load_archive
    cuda_device=cuda_device)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/models/model.py"", line 274, in load
    return cls.by_name(model_type)._load(config, serialization_dir, weights_file, cuda_device)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/models/model.py"", line 221, in _load
    model = Model.from_params(vocab, model_params)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/models/model.py"", line 195, in from_params
    model = cls.by_name(choice).from_params(vocab, params)
  File ""/Users/michael/hack/allenai/allennlp/allennlp/models/semantic_role_labeler.py"", line 209, in from_params
    encoder = Seq2SeqEncoder.from_params(params.pop(""encoder""))
  File ""/Users/michael/hack/allenai/allennlp/allennlp/common/params.py"", line 96, in pop
    raise ConfigurationError(""key \""{}\"" is required at location \""{}\"""".format(key, self.history))
allennlp.common.checks.ConfigurationError: 'key ""encoder"" is required at location ""model.""'
```",,,,,,,,,,1
231,https://github.com/allenai/allennlp/issues/1194,1194,[],closed,2018-05-10 23:02:53+00:00,,2,"After pytorch 0.4, make `LabelField.as_tensor a 0-tensor?","it feels like that would make sense? although it would break a ton of things. quite likely there are other places where this would make sense too.

(the genesis of this thought was working on the tutorial and having to explain why every use of `labels` requires a `.squeeze(-1)`)",,,,,,,,,,1
427,https://github.com/allenai/allennlp/issues/1659,1659,[],closed,2018-08-24 01:52:20+00:00,,2,Should we make CrfTagger work with all sequence labeling datasets?,"Currently, `CrfTagger` only works with BIO-tagging datasets, since a `SpanF1Metric` is created by default.

It'd be simple to adapt it to work with datasets like CCG tagging / POS tagging, but that might involve adding some more arguments to the model (e.g., an argument for `constrain_crf_decoding` and `calculate_span_f1`).

Do we want to add these arguments, considering that the `CrfTagger` is used in the tutorial (and thus it might make sense to have it be as simple as possible).",,,,,,,,,,1
436,https://github.com/allenai/allennlp/issues/1681,1681,[],closed,2018-08-28 21:01:41+00:00,,2,Order of predicted labels from textual-entailment,"What is order of the labels outputed by the textual entailment model? I assume it is Entailment, Contradiction and Neutral, but wanted to double check that assumption is correct. 

eg
```
'premise_tokens': ['The', 'primary', 'colors', 'are', 'green', ',', 'yellow', 
',', 'and', 'red',.', '@@NULL@@'],
 'hypothesis_tokens': ['Red', 'is', 'a', 'primary', 'color', '.', '@@NULL@@'],
 'label_probs': [0.5689316391944885, 0.17109070718288422, 0.2599776089191437],
```",,,,,,,,,,1
465,https://github.com/allenai/allennlp/issues/1752,1752,[],closed,2018-09-11 22:57:25+00:00,,2,Unseen span labels in constituency parser model,"I'm evaluating the constituency parser model on the PTB fragment distributed with NLTK (which I compiled into one file with all the merged trees).

However, I believe I ran into an issue marked in a ""TODO"" in the code [here](https://github.com/allenai/allennlp/blob/4920249af097d1557be6ece3e5ce80d1f6ea0333/allennlp/data/dataset_readers/penn_tree_bank.py#L184):

```
TODO(Mark): If we encounter a gold nested labelling at test time
which we haven't encountered, we won't be able to run the model
at all.
```

Specifically, the issue is when there is a span label in the evaluation data that wasn't in the training data. When this occurs, the model throws an error because OOV labels are dis-allowed. In my case the span label was ""SQ-FRAG"", indicating nested ""SQ"" and ""FRAG"" spans. I'm guessing this has to do with using the NLTK version of PTB instead of the LDC version (which isn't freely available).

I fixed the error by changing the span label namespace to something without the suffix ""label"" (ie ""test""), which I understand enables OOV tokens to be legal. The model evaluates and returns the following results:

```
2018-09-11 22:47:41,597 - INFO - allennlp.commands.evaluate - Finished evaluating.
2018-09-11 22:47:41,597 - INFO - allennlp.commands.evaluate - Metrics:
2018-09-11 22:47:41,597 - INFO - allennlp.commands.evaluate - tag_accuracy: 0.01969830953647653
2018-09-11 22:47:41,597 - INFO - allennlp.commands.evaluate - evalb_recall: 0.9104670632597776
2018-09-11 22:47:41,597 - INFO - allennlp.commands.evaluate - evalb_precision: 0.9092911330451097
2018-09-11 22:47:41,597 - INFO - allennlp.commands.evaluate - evalb_f1_measure: 0.9098787182085938
```

I'm not exactly sure what it should output, but I suspect that ""tag_accuracy"" shouldn't be that low, so I suspect my attempted ""fix"" broke something else. Or perhaps the NLTK dataset is sufficiently different that this won't work at all. I would appreciate if someone knew if there was an easy fix to this issue or not.",,,,,,,,,,1
586,https://github.com/allenai/allennlp/issues/1998,1998,[],closed,2018-11-01 12:21:11+00:00,,1,LabelField Indexing Error,"I've written a rough class to read and index a text classification dataset so that it can be used with pretrained ELMo embeddings:

```
import pandas as pd
from allennlp.data import Instance
from allennlp.data.fields import TextField, LabelField
from allennlp.data.tokenizers import WordTokenizer
from allennlp.data.token_indexers.elmo_indexer import ELMoTokenCharactersIndexer
from allennlp.data.vocabulary import Vocabulary
from allennlp.data.dataset import Batch
from allennlp.data.dataset_readers import DatasetReader

class TabularReader(DatasetReader):
    def __init__(self, text_name, label_name, sep, batch_size):
        super().__init__(lazy=False)
        self.sep = sep
        self.text_name = text_name
        self.label_name = label_name
        self.batch_size = batch_size

        self.vocab = Vocabulary()
        self.tokeniser = WordTokenizer()
        self.token_indexers = {""character_ids"": ELMoTokenCharactersIndexer()}

    def text_to_instance(self, tokens, label):
        sentence_field = TextField(tokens, self.token_indexers)
        label_field = LabelField(label=label, label_namespace=""labels"")
        fields = {""sentence"": sentence_field, ""labels"": label_field}
        return Instance(fields)

    def _read(self, file_path):
        df = pd.read_csv(file_path, self.sep)
        text_col, label_col = df[self.text_name], df[self.label_name]

        instances = []
        for idx, sentence in enumerate(text_col):
            instances.append(self.text_to_instance(
                self.tokeniser.tokenize(sentence), label_col[idx]))

            if (idx + 1) % self.batch_size == 0:
                batch = Batch(instances)
                instances = []
                batch.index_instances(self.vocab)
                yield batch.as_tensor_dict()
```
However it throws a confusing OOV `KeyError` when it tries to index the `LabelField`:

```
Traceback (most recent call last):
  File ""test_elmo.py"", line 56, in <module>
    train_dataset = reader.read(""data/train.tsv"")
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/allennlp/data/dataset_readers/dataset_reader.py"", line 73, in read
    instances = [instance for instance in Tqdm.tqdm(instances)]
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/allennlp/data/dataset_readers/dataset_reader.py"", line 73, in <listcomp>
    instances = [instance for instance in Tqdm.tqdm(instances)]
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/tqdm/_tqdm.py"", line 937, in __iter__
    for obj in iterable:
  File ""test_elmo.py"", line 47, in _read
    batch.index_instances(self.vocab)
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/allennlp/data/dataset.py"", line 155, in index_instances
    instance.index_fields(vocab)
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/allennlp/data/instance.py"", line 60, in index_fields
    field.index(vocab)
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/allennlp/data/fields/label_field.py"", line 83, in index
    self._label_id = vocab.get_token_index(self.label, self._label_namespace)  # type: ignore
  File ""/Users/gabrielgordon-hall/anaconda/lib/python3.6/site-packages/allennlp/data/vocabulary.py"", line 591, in get_token_index
    return self._token_to_index[namespace][self._oov_token]
KeyError: '@@UNKNOWN@@'
```
Why does the `self._token_to_index` throw this error? Surely it should just add the token to the `__NamespaceDependentDefaultDict`? Or am I barking up the wrong tree?

",,,,,,,,,,1
608,https://github.com/allenai/allennlp/issues/2038,2038,[],closed,2018-11-10 21:23:36+00:00,,2,Vocab labels empty,"**Describe the bug**
A clear and concise description of what the bug is.
I use this reader
```python
class MRDatasetReader(DatasetReader):
    def __init__(self,
             tokenizer: Tokenizer = None,
             token_indexers: Dict[str, TokenIndexer] = None,
             lazy: bool = False) -> None:
        super().__init__(lazy)

        self._tokenizer = tokenizer or WordTokenizer()
        self._token_indexers = token_indexers or {'tokens': SingleIdTokenIndexer()}
    
    def _read(self, file_path):
        with open(cached_path(file_path), ""r"") as data_file:
            df = pd.read_csv(file_path, dtype={""PhraseId"": np.float, ""Sentiment"": np.float, ""SentenceId"": np.float})
            #print(""count = "", len(train.where(train['Sentiment'] == 0).dropna()))
            for i, item in df.iterrows():
                phrase_id = item[""PhraseId""]
                sentence_id = item[""SentenceId""]
                phrase = item[""Phrase""]
                sentiment = item[""Sentiment""]
                yield self.text_to_instance(phrase_id, sentence_id, phrase, sentiment)
            
    def text_to_instance(self, phrase_id, sentence_id, phrase, sentiment) -> Instance:
        tokenized_phrase = self._tokenizer.tokenize(phrase)
        
        phrase_field = TextField(tokenized_phrase, self._token_indexers)
        #phrase_id_field = MetadataField(phrase_id)
        #sentence_id_field = MetadataField(sentence_id)
        fields = {
            ""phrase"": phrase_field
        }
        
        #print(f""sentiment = {sentiment} | sentiment-1 = {sentiment-1}"")
        fields[""labels""] = LabelField(sentiment, skip_indexing=True)
            
        return Instance(fields)
```
sentiment is an int.

now when I load my vocabulary `vocab = Vocabulary.from_instances(val_dataset)`

and print this: `vocab._token_to_index[""labels""]`

it returns {}

this is a problem ...

now if i replace the LabelField like this: `fields[""labels""] = LabelField(str(int(sentiment)))`

it returns then this: `{'2': 0, '3': 1, '1': 2, '4': 3, '0': 4}` (for this print: `vocab._token_to_index[""labels""]`)



**To Reproduce**
Steps to reproduce the behavior
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen. Ok

skip_indexing work fine .. i need to get something like {0:0, 1:1, 2:2, etc..}. i dont know but definitely not empty like {}. i need labels to pass to forward with full size, not just 0 when I call `print(""vocab size output ="", vocab.get_vocab_size(""labels""))`. when I do it without skip_indexing

**System (please complete the following information):**
 - OS: [e.g. OSX, Linux] kaggle
 - Python version: [if it's not 3.6.1 or later, that's probably your problem] its the kaggle version
 - AllenNLP version: [e.g. v0.7.0, or ""I installed from master""] 0.7.1
 - PyTorch version: (if you installed it yourself) 0.4.1

**Additional context**
Add any other context about the problem here.
Yes

i load vocab like this: `vocab = Vocabulary.from_instances(train_dataset + val_dataset)`

before i add token_indexers to datasetreader

```
token_indexers = { 
    ""tokens"": SingleIdTokenIndexer(lowercase_tokens=True),
    ""elmo"": ELMoTokenCharactersIndexer(namespace=""elmo""),
    ""token_characters"": TokenCharactersIndexer(character_tokenizer=CharacterTokenizer(byte_encoding=""utf-8"", start_tokens=[259], end_tokens=[260]))
}
```",,,,,,,,,,1
