,html_url,number,labels,state,created_at,pull_request,comments,title,body,rel1,rel2,rel3,rel4,rel5,rel6,rel7,rel8,rel9,rel10
3,https://github.com/explosion/spaCy/issues/2783,2783,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}, {'id': 710446668, 'node_id': 'MDU6TGFiZWw3MTA0NDY2Njg=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/training', 'name': 'training', 'color': '087EA6', 'default': False, 'description': 'Training and updating models'}]",closed,2018-09-20 15:34:12+00:00,,4,Very high losses when adding training samples to NER model,"I have an en model trained for a custom set of entities. Sample size >3000 items across about 10-15 entities. Results are fair to good in use...When attempting to add new annotations to this model, I am getting some alarming results...losses exceed 300k and increase each iteration. Documents can be quite large...

I am using the ner_training code found in ""examples"" as is with the only change being a call to db to generate training data.  Running in a linux vm, ubuntu 18.04.  Using CPU, not GPU because I cannot get GPU working through vm and windows GPU won't compile...

Please help me understand if these very high losses are expected. They are 2+ orders of magnitude larger than the ones observed during model training from blank

if not model and output_dir:
        model=output_dir

    if model is not None:
        nlp = spacy.load(model)  # load existing spaCy model
        print(""Loaded model '%s'"" % model)
    else:
        nlp = spacy.blank('en')  # create blank Language class
        print(""Created blank 'en' model"")

    if 'ner' not in nlp.pipe_names:
        ner = nlp.create_pipe('ner')
        nlp.add_pipe(ner, last=True)
    else:
        ner = nlp.get_pipe('ner')

    TRAIN_DATA = load_ner_data()
    # add labels
    for _, annotations in TRAIN_DATA:
        for ent in annotations.get('entities'):
            ner.add_label(ent[2])

    # get names of other pipes to disable them during training
    other_pipes = [pipe for pipe in nlp.pipe_names if pipe != 'ner']
    with nlp.disable_pipes(*other_pipes):  # only train NER
        optimizer = ner.create_optimizer()
        for itn in range(n_iter):
            random.shuffle(TRAIN_DATA)
            losses = {}
            for text, annotations in TRAIN_DATA:
                nlp.update(
                    [text],  # batch of texts
                    [annotations],  # batch of annotations
                    drop=0.5,  # dropout - make it harder to memorise data
                    sgd=optimizer,  # callable to update weights
                    losses=losses)
            print(losses)
",,,,,,,,,,1
28,https://github.com/explosion/spaCy/issues/2824,2824,"[{'id': 514165920, 'node_id': 'MDU6TGFiZWw1MTQxNjU5MjA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/lang%20/%20en', 'name': 'lang / en', 'color': '726DA8', 'default': False, 'description': 'English language data and models'}, {'id': 560441651, 'node_id': 'MDU6TGFiZWw1NjA0NDE2NTE=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/models', 'name': 'models', 'color': '726DA8', 'default': False, 'description': 'Issues related to the statistical models'}, {'id': 881663930, 'node_id': 'MDU6TGFiZWw4ODE2NjM5MzA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/feat%20/%20ner', 'name': 'feat / ner', 'color': 'ddfc74', 'default': False, 'description': 'Feature: Named Entity Recognizer'}]",closed,2018-10-05 18:51:31+00:00,,6,Replicating benchmark NER results with Ontonotes 5,"# On replicating benchmark NER results with Ontonotes 5

I would like to replicate the results of the spaCy pre-trained NER model on the English portion of the Ontonotes 5 corpus (the spaCy documentation says I should get ~ 85% F1), but I could not find any details on how to replicate it exactly.

1. Which test set was used for the evaluation? I followed the instructions at http://cemantix.org/data/ontonotes.html, but there are two different test sets (""Test"" and ""CoNLL-2012 Test""). Also, were all subcorpora used, or was the pivot text (subdirectory `pt`, consisting of text from Old and New Testaments) removed? (since this does not have entity labels)

2. I am currently extracting entities one sentence at a time (e.g. doc = nlp(sentence_text); ents = doc.ents). Is this the right way to use spaCy's NER, or am I missing something? Doing it this way, I'm getting about 74% micro-F1 (using spaCy 2.0.12, with model en-core-web-lg 2.0.0).

Thanks!

## Which page or section is this issue related to?
https://spacy.io/usage/facts-figures#ner-accuracy-ontonotes5
",,,,,,,,,,1
56,https://github.com/explosion/spaCy/issues/2858,2858,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}, {'id': 710446668, 'node_id': 'MDU6TGFiZWw3MTA0NDY2Njg=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/training', 'name': 'training', 'color': '087EA6', 'default': False, 'description': 'Training and updating models'}, {'id': 881663930, 'node_id': 'MDU6TGFiZWw4ODE2NjM5MzA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/feat%20/%20ner', 'name': 'feat / ner', 'color': 'ddfc74', 'default': False, 'description': 'Feature: Named Entity Recognizer'}]",closed,2018-10-17 03:22:11+00:00,,2,NER can't get any entity after training iterations,"Hi
Really great tool~ But i do get a problem when trying to extract information from some short 'Software label' phrases. I am using [spaCy example code](https://github.com/explosion/spacy/blob/master/examples/training/train_new_entity_type.py) with 7 examples (below). Started with a `blank` 'en' model.

With 1 iteration, I get following entities. Not only they are wrong (acceptable), but they are duplicated also.
```bash
for entity in nlp('Office SharePoint CAL 2007 Portuguese MVL Device CAL').ents:
    print(ent.text, ent.start_char, ent.end_char, ent.label_)
Office SharePoint 0 17 LANGUAGE
Office SharePoint 0 17 LANGUAGE
```

Then I tried examples with 10 iterations. I suppose the NER model should be over fitting enough. But this time same code/string returns 0 entities.

Could you give some suggestions on this?

Also i created `word2vec` vectors with `Gensim` and imported into my spaCy blank models. But it seems it doesn't help. Could you give some info about how spaCy uses imported vectors? Only on similarity or tagging/NER also?

 I saw [your video](https://www.youtube.com/watch?v=sqDHBH9IjRU) and my understanding is you are using your own embedding (not word2vec or any others) and CNN to create NER model. How spaCy label unlabeled Span (like Office SharePoint) based on the model?

Thanks!!! 

#### Training data
```python
TRAIN_DATA = [
    ('Office SharePoint CAL 2007 Dutch MVL User CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 31, 'LANGUAGE')]
    }),
    ('Office SharePoint CAL 2007 French MVL Device CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 32, 'LANGUAGE')]
    }),
    ('Office SharePoint CAL 2007 Finnish MVL Device CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 33, 'LANGUAGE')]
    }),
    ('Office SharePoint CAL 2007 Greek MVL Device CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 31, 'LANGUAGE')]
    }),
    ('Office SharePoint CAL 2007 Italian MVL Device CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 33, 'LANGUAGE')]
    }),
    ('Office SharePoint CAL 2007 Norwegian MVL Device CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 35, 'LANGUAGE')]
    }),
    ('Office SharePoint CAL 2007 Portuguese MVL Device CAL', {
        'entities': [(0, 16, 'PRODUCT'), (27, 36, 'LANGUAGE')]
    }),   
]
```
## Your Environment
## Info about spaCy

* **spaCy version:** 2.0.12
* **Platform:** Linux-3.10.0-862.3.2.el7.x86_64-x86_64-with-centos-7.5.1804-Core
* **Python version:** 3.6.5
* **Models:** en
",,,,,,,,,,1
73,https://github.com/explosion/spaCy/issues/2882,2882,"[{'id': 111380487, 'node_id': 'MDU6TGFiZWwxMTEzODA0ODc=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/enhancement', 'name': 'enhancement', 'color': '20834E', 'default': True, 'description': 'Feature requests and improvements'}, {'id': 881663930, 'node_id': 'MDU6TGFiZWw4ODE2NjM5MzA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/feat%20/%20ner', 'name': 'feat / ner', 'color': 'ddfc74', 'default': False, 'description': 'Feature: Named Entity Recognizer'}]",closed,2018-10-29 08:36:06+00:00,,3,is there a way with spaCy's NER to calculate metrics per entity type?,"Hello there,
I would like to ask if there is a way in the NER model in spaCy to extract the metrics (precision, recall, f1 score) per entity type?

Something that will look like this:

         precision    recall  f1-score   support
  B-LOC      0.810     0.784     0.797      1084
  I-LOC      0.690     0.637     0.662       325
 B-MISC      0.731     0.569     0.640       339
 I-MISC      0.699     0.589     0.639       557
  B-ORG      0.807     0.832     0.820      1400
  I-ORG      0.852     0.786     0.818      1104
  B-PER      0.850     0.884     0.867       735
  I-PER      0.893     0.943     0.917       634
avg / total 0.809 0.787 0.796 6178

Above example taken from: http://www.davidsbatista.net/blog/2018/05/09/Named_Entity_Evaluation/

I have tried to post on stackoverflow as well but had no luck, apologies if this is not the right place to post this question or maybe a usage tag should be used if Im missing something in the documentation on how to do it.
https://stackoverflow.com/questions/52856057/is-there-a-way-with-spacys-ner-to-calculate-metrics-per-entity-type
Thank you!

## Your Environment
## Info about spaCy

* **spaCy version:** 2.0.12
* **Platform:** Linux-4.4.0-17134-Microsoft-x86_64-with-Ubuntu-18.04-bionic
* **Python version:** 3.6.6
* **Models:** en_core_web_lg
* Environment Information: I am using Ubuntu subsystem in the windows 10.
",,,,,,,,,,1
83,https://github.com/explosion/spaCy/issues/2895,2895,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}, {'id': 710446668, 'node_id': 'MDU6TGFiZWw3MTA0NDY2Njg=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/training', 'name': 'training', 'color': '087EA6', 'default': False, 'description': 'Training and updating models'}, {'id': 881663930, 'node_id': 'MDU6TGFiZWw4ODE2NjM5MzA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/feat%20/%20ner', 'name': 'feat / ner', 'color': 'ddfc74', 'default': False, 'description': 'Feature: Named Entity Recognizer'}]",closed,2018-11-02 08:28:41+00:00,,4,Spacy : 2.1.0a1  : Customized NER model which is loaded from disk is not giving any detection of customized entity ?,"    spaCy version      2.1.0a1        
    Location           /home/prashant/.local/lib/python3.6/site-packages/spacy
    Platform           Linux-4.15.0-36-generic-x86_64-with-Ubuntu-18.04-bionic
    Python version     3.6.6          
    Models             en   

@honnibal @ines 

Hi ,
I already went through https://github.com/explosion/spaCy/issues/1337 but....doesn't work.
So after that I am writing this issue

one difference I noticed between en_core_web_sm and to_disk generated model is there is no tagger and parser folder.

When I am evaluating trained model in the same code it shows proper results for customized named entity  recognition. But when I am loading saved model from disk it shows nothing for the same test data that I used after just training to evaluate.


I tried with both technique **from disk()** and **spacy.load()**

Here  I am attaching my generated model in **zip** file.


nlp = spacy.blank('en').from_disk('/home/prashant/sales_agreemt/binary_models/en_CLOSING_DATE_EXTRACTION-0.0.0/en_CLOSING_DATE_EXTRACTION/en_CLOSING_DATE_EXTRACTION-0.0.0/')

[en_CLOSING_DATE_EXTRACTION-0.0.0.zip](https://github.com/explosion/spaCy/files/2541603/en_CLOSING_DATE_EXTRACTION-0.0.0.zip)

#nlp = spacy.load('/home/prashant/sales_agreemt/binary_models/en_CLOSING_DATE_EXTRACTION-0.0.0/en_CLOSING_DATE_EXTRACTION/en_CLOSING_DATE_EXTRACTION-0.0.0/l')

examples : 

with training and testing in same code

testing sample: _The closing of the sale will be on or before July 19 , 2018 , or within 7 days after objections made._

**Results :** closing_date :  July 19 , 2018 


with loading model from disk

testing sample: _The closing of the sale will be on or before July 19 , 2018 , or within 7 days after objections made._

**Results :** closing_date :  **NULL**   





both  Techniques **spacy.load** and **from disk()** failed

nlp = spacy.blank('en').from_disk('/home/prashant/sales_agreemt/binary_models/en_CLOSING_DATE_EXTRACTION-0.0.0/en_CLOSING_DATE_EXTRACTION/en_CLOSING_DATE_EXTRACTION-0.0.0/')
#nlp = spacy.load('/home/prashant/sales_agreemt/binary_models/en_CLOSING_DATE_EXTRACTION-0.0.0/en_CLOSING_DATE_EXTRACTION/en_CLOSING_DATE_EXTRACTION-0.0.0/ner/model')

",,,,,,,,,,1
164,https://github.com/explosion/spaCy/issues/3015,3015,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}, {'id': 621625469, 'node_id': 'MDU6TGFiZWw2MjE2MjU0Njk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/third-party', 'name': 'third-party', 'color': 'f6f6f6', 'default': False, 'description': 'Third-party packages and services'}, {'id': 710446668, 'node_id': 'MDU6TGFiZWw3MTA0NDY2Njg=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/training', 'name': 'training', 'color': '087EA6', 'default': False, 'description': 'Training and updating models'}]",closed,2018-12-06 07:26:08+00:00,,2,NER Training  on spark,"## Feature description
Need to train custom entities for NER model using Spark as my Data is huge , Is there any way to use spark to create a NER model 


",,,,,,,,,,1
206,https://github.com/explosion/spaCy/issues/3081,3081,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}, {'id': 496348994, 'node_id': 'MDU6TGFiZWw0OTYzNDg5OTQ=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/%F0%9F%8C%99%20nightly', 'name': '馃寵 nightly', 'color': 'ffffff', 'default': False, 'description': 'Discussion and contributions related to nightly builds'}, {'id': 710446668, 'node_id': 'MDU6TGFiZWw3MTA0NDY2Njg=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/training', 'name': 'training', 'color': '087EA6', 'default': False, 'description': 'Training and updating models'}, {'id': 881663930, 'node_id': 'MDU6TGFiZWw4ODE2NjM5MzA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/feat%20/%20ner', 'name': 'feat / ner', 'color': 'ddfc74', 'default': False, 'description': 'Feature: Named Entity Recognizer'}, {'id': 925719279, 'node_id': 'MDU6TGFiZWw5MjU3MTkyNzk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/more-info-needed', 'name': 'more-info-needed', 'color': 'f6f6f6', 'default': False, 'description': 'This issue needs more information'}]",closed,2018-12-21 10:01:29+00:00,,9,NER Model retrain failed,"Hello.
 
I've tried to retrain existing model NER several ways and get very poor results - 20-40% for NER P/R/F after training.
Initially I tried to train it with very few examples and then to check that retraining is working I started to check with source training data.
I downloaded Wikiner training data and used english source with ~2 million words. I used this set for checking results with spacy evalute.
I loaded 5k sentences from Wikiner and train xx_core_web_sm model with recently updated code from 'Updating the Named Entity Recognizer' running 100 epoch.
After that I checked model on Wikiner en and get next results: NER P 24.43 NER R 38.11 NER F 29.77
I think this is ideal environment for retraining model check, because I used huge amount of different data that model was trained before (https://explosion.ai/blog/pseudo-rehearsal-catastrophic-forgetting). So why results so pure comparing to initial model giving 
NER P 83.47, NER R 82.58, NER F 83.02. Is it possible to use model retraining at all?


Training log output:
Losses {'ner': 15063.066990082474}
Losses {'ner': 11629.889364530538}
Losses {'ner': 10494.161782337735}
Losses {'ner': 9623.809613426754}
Losses {'ner': 9142.404902400052}
Losses {'ner': 8639.16547262442}
Losses {'ner': 8459.444947359047}
Losses {'ner': 7941.9721914940055}
Losses {'ner': 7669.527320367472}
Losses {'ner': 7608.771949650602}
Losses {'ner': 7327.176064978128}
Losses {'ner': 7075.115230791447}
Losses {'ner': 7004.6924016013345}
Losses {'ner': 6670.628368807335}
Losses {'ner': 6719.906040001562}
Losses {'ner': 6541.140641508225}
Losses {'ner': 6373.065197750666}
Losses {'ner': 6187.52255028603}
Losses {'ner': 6188.456346469873}
Losses {'ner': 5945.065942535327}
Losses {'ner': 5928.391734070782}
Losses {'ner': 5781.87251618183}
Losses {'ner': 5726.948722697338}
Losses {'ner': 5698.842095540828}
Losses {'ner': 5594.911816915247}
Losses {'ner': 5476.623139583039}
Losses {'ner': 5399.218761012343}
Losses {'ner': 5393.962858256385}
Losses {'ner': 5180.310507435423}
Losses {'ner': 5184.917663437949}
Losses {'ner': 5255.646767346439}
Losses {'ner': 5049.3438865619}
Losses {'ner': 5006.051801752485}
Losses {'ner': 5126.498390270155}
Losses {'ner': 4931.881132303227}
Losses {'ner': 4903.77620897046}
Losses {'ner': 4815.970680039226}
Losses {'ner': 4869.446105438782}
Losses {'ner': 4752.001489196585}
Losses {'ner': 4749.1452747045105}
Losses {'ner': 4684.490625249131}
Losses {'ner': 4686.65270677296}
Losses {'ner': 4652.0041196014845}
Losses {'ner': 4532.425295642297}
Losses {'ner': 4597.851694887338}
Losses {'ner': 4603.022341920004}
Losses {'ner': 4585.898221105738}
Losses {'ner': 4362.555321542932}
Losses {'ner': 4359.977057576009}
Losses {'ner': 4431.069526548233}
Losses {'ner': 4537.661763865623}
Losses {'ner': 4404.21058083518}
Losses {'ner': 4317.334126414206}
Losses {'ner': 4324.015868989382}
Losses {'ner': 4280.837153941132}
Losses {'ner': 4085.5653676661364}
Losses {'ner': 4206.998216835518}
Losses {'ner': 4150.090601174477}
Losses {'ner': 4223.763730703552}
Losses {'ner': 4037.0037649564206}
Losses {'ner': 4224.653343702988}
Losses {'ner': 4132.8999594737315}
Losses {'ner': 4145.879738595007}
Losses {'ner': 4018.5912377032187}
Losses {'ner': 4106.8283101004345}
Losses {'ner': 4036.8007862988065}
Losses {'ner': 3991.2323565833617}
Losses {'ner': 3950.298744434533}
Losses {'ner': 3975.29642784109}
Losses {'ner': 3863.9817495027673}
Losses {'ner': 3861.8948883296307}
Losses {'ner': 3948.0756895615227}
Losses {'ner': 3897.68691941695}
Losses {'ner': 3962.5085762721856}
Losses {'ner': 3941.8293609340326}
Losses {'ner': 3751.5198740399314}
Losses {'ner': 3844.6950125026724}
Losses {'ner': 3807.371357590735}
Losses {'ner': 3829.3558887053737}
Losses {'ner': 3887.934958377564}
Losses {'ner': 3787.0113654127767}
Losses {'ner': 3754.949522888718}
Losses {'ner': 3785.3073014897486}
Losses {'ner': 3744.398673595233}
Losses {'ner': 3710.48395772588}
Losses {'ner': 3735.278587472417}
Losses {'ner': 3714.209315601868}
Losses {'ner': 3800.8156407004385}
Losses {'ner': 3647.9371526723157}
Losses {'ner': 3708.170002996947}
Losses {'ner': 3580.7662130972803}
Losses {'ner': 3685.329725901364}
Losses {'ner': 3624.1697674026136}
Losses {'ner': 3605.2621245154864}
Losses {'ner': 3610.3301118786544}
Losses {'ner': 3412.9983680328114}
Losses {'ner': 3694.3831085043644}
Losses {'ner': 3587.3276896920747}
Losses {'ner': 3589.6796999717358}
Losses {'ner': 3562.5060677709325}

",,,,,,,,,,1
262,https://github.com/explosion/spaCy/issues/3166,3166,[],closed,2019-01-16 10:34:28+00:00,,2,Loss is always Zero while creating a NER model,"**I'm creating a custom ner model using the CLI command**
`python -m spacy train en ./docs/model ./docs/data/train.json ./docs/data/sample_test_data.json -n 5 -P -T`.

**The problem is:**
The loss is always zero even though the train and test dataset are different. And obviously, the NER model is not performing as expected, even period (.) is considered as an entity.

### Output:

**dropout_from = 0.2 by default
dropout_to = 0.2 by default
dropout_decay = 0.0 by default
batch_from = 1 by default
batch_to = 16 by default
batch_compound = 1.001 by default
max_doc_len = 5000 by default
beam_width = 1 by default
beam_density = 0.0 by default
Warning: Unnamed vectors -- this won't allow multiple vectors models to be loaded. (Shape: (0, 0))
learn_rate = 0.001 by default
optimizer_B1 = 0.9 by default
optimizer_B2 = 0.999 by default
optimizer_eps = 1e-08 by default
L2_penalty = 1e-06 by default
grad_norm_clip = 1.0 by default
parser_hidden_depth = 1 by default
parser_maxout_pieces = 2 by default
token_vector_width = 128 by default
hidden_width = 200 by default
embed_size = 7000 by default
history_feats = 0 by default
history_width = 0 by default
Itn.  Dep Loss  NER Loss  UAS     NER P.  NER R.  NER F.  Tag %   Token %  CPU WPS  GPU WPS
0     0.000     0.000     0.000   5.882   40.000  10.256  100.000 100.000  349.7    0.0
1     0.000     0.000     0.000   13.333  40.000  20.000  100.000 100.000  781.1    0.0
2     0.000     0.000     0.000   0.000   0.000   0.000   100.000 100.000  851.0    0.0
3     0.000     0.000     0.000   5.000   40.000  8.889   100.000 100.000  705.4    0.0
4     0.000     0.000     0.000   0.000   0.000   0.000   100.000 100.000  717.5    0.0
Saving model...**

The training data set file size is 3.5 Mb.

Not able to find where I'm making a mistake.

## Environment
* Operating System: Windows 8.1
* Python Version Used: 3.6.8
* spaCy Version Used: 2.0.18

",,,,,,,,,,1
266,https://github.com/explosion/spaCy/issues/3172,3172,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}, {'id': 925719279, 'node_id': 'MDU6TGFiZWw5MjU3MTkyNzk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/more-info-needed', 'name': 'more-info-needed', 'color': 'f6f6f6', 'default': False, 'description': 'This issue needs more information'}]",closed,2019-01-19 06:06:00+00:00,,3,spaCy Custom NER model returning nothing even after training many times ,"
![screenshot from 2019-01-19 11-36-44](https://user-images.githubusercontent.com/40916262/51422998-b2ebd380-1bde-11e9-9a0a-7d8a86069676.png)
spaCy Custom NER model doesn't return the required result.It always returns nothing even after training for more than a 1000 times. The model is getting created,the model is getting trained perfectly and after calling the custom model in jupyter notebook, it returns nothing.What can be the problem here or I need to train with more and more data ?
As it can be seen in above image that it is returning nothing and in the below image it is getting trainied perfectly.
![screenshot from 2019-01-19 11-30-53](https://user-images.githubusercontent.com/40916262/51422963-5b4d6800-1bde-11e9-95d2-5164f5c9ab89.png)


",,,,,,,,,,1
299,https://github.com/explosion/spaCy/issues/3224,3224,"[{'id': 111380490, 'node_id': 'MDU6TGFiZWwxMTEzODA0OTA=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/usage', 'name': 'usage', 'color': '087EA6', 'default': False, 'description': 'General spaCy usage'}]",closed,2019-02-03 23:12:18+00:00,,2,Evaluation of NER model is producing incorrect results,"**How to reproduce the behaviour**

using training script https://github.com/explosion/spaCy/blob/master/examples/training/train_ner.py

I executed this command on the train_ner.py script with my training data (approximately 1000 sentences)

`python train_ner.py -m en_core_web_lg -o outputModel`

**Your Environment**

Operating System:
Windows 10

**Python Version Used:**
Anaconda environment with python version 3.6.8

**spaCy Version Used:**
2.0.18

**Evaluation Script**

```
import spacy
from spacy.gold import GoldParse
from spacy.scorer import Scorer

def evaluate(ner_model, examples):
    scorer = Scorer()
    for input_, annot in examples:
        doc_gold_text = ner_model.make_doc(input_)
        gold = GoldParse(doc_gold_text, entities=annot['entities'])
        pred_value = ner_model(input_)
        scorer.score(pred_value, gold)
    return scorer.scores
```

When evaluating the model on the validation data, 

```
evalFold1 = [(""""""Text 鈥?..

spacyModel = spacy.load('en_core_web_lg')
nermodel = spacy.load('myModel')

results = evaluate(nermodel , evalFold1)

```
results produces the following output 

```
{'uas': 0.0,
 'las': 0.0,
 'ents_p': 0.0,
 'ents_r': 0.0,
 'ents_f': 0.0,
 'tags_acc': 0.0,
 'token_acc': 100.0}
```

It also does the same thing when I load the spacy model (en_core_web_lg) and use it to evaluate that same data.

EDIT: this model is the first in 5 part of a 5 fold cross validation set. 

Data is split up like

training folds 2, 3, 4, 5 evaluate on 1 <- only this one gives bad result
training folds 1, 3, 4, 5 evaluate on 2
etc.

So the first model evaluated on the first validation set is giving the incorrect result.  The other 4 are giving normal results (actual values for the P, R and F are like 93%)

",,,,,,,,,,1
