,html_url,number,labels,state,created_at,pull_request,comments,title,body,rel1,rel2,rel3,rel4,rel5,rel6,rel7,rel8,rel9,rel10
118,https://github.com/huggingface/transformers/issues/6320,6320,"[{'id': 1314768611, 'node_id': 'MDU6TGFiZWwxMzE0NzY4NjEx', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/wontfix', 'name': 'wontfix', 'color': 'ffffff', 'default': True, 'description': None}]",closed,2020-08-07 08:10:46+00:00,,1,Multi-gpu LM finetuning,"Hello, 

how can I run LM finetuning with more than one gpu (specifically I want to train gpt2-medium on Google Cloud with four nvidia T4, 64GB).

What are the arguments to pass to `run_language_modeling.py` script?

Thanks",,,,,,,,,,1
577,https://github.com/huggingface/transformers/issues/7307,7307,"[{'id': 1314768611, 'node_id': 'MDU6TGFiZWwxMzE0NzY4NjEx', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/wontfix', 'name': 'wontfix', 'color': 'ffffff', 'default': True, 'description': None}, {'id': 2107554019, 'node_id': 'MDU6TGFiZWwyMTA3NTU0MDE5', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/Distributed%20Training%20/%20Models', 'name': 'Distributed Training / Models', 'color': 'fef2c0', 'default': False, 'description': ''}, {'id': 2209491906, 'node_id': 'MDU6TGFiZWwyMjA5NDkxOTA2', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/gpt2', 'name': 'gpt2', 'color': '45cca5', 'default': False, 'description': ''}]",closed,2020-09-22 02:17:48+00:00,,5,Cuda OOM training gpt2-xl with Trainer in multi-GPUs,"# 鉂?Questions & Help

I am currently trying to finetune the gpt2-xl. I have 2 tesla T4 GPUs. However, I get the CUDA OOM error... when I look at the use of the gpus I see that the first one is full, but the second one still has enough space. Here is my code:

```
from transformers import TextDataset,DataCollatorForLanguageModeling, AutoTokenizer

import torch
device = torch.device('cuda' if torch.cuda.is_available() else 'cpu')

from transformers import GPT2LMHeadModel, Trainer, TrainingArguments
model = GPT2LMHeadModel.from_pretrained(""gpt2-xl"").to(device)

from transformers import TextDataset,DataCollatorForLanguageModeling, AutoTokenizer,  TrainingArguments, Trainer
tokenizer = AutoTokenizer.from_pretrained(""gpt2-xl"")
train_dataset = TextDataset(
          tokenizer=tokenizer,
          file_path='dataset_training.txt',
          block_size=128)

data_collator = DataCollatorForLanguageModeling(
        tokenizer=tokenizer, mlm=False,
    )

training_args = TrainingArguments(
    output_dir='./results',         # output directory
    num_train_epochs=2,              # total # of training epochs
    per_device_train_batch_size=1,  # batch size per device during training
    warmup_steps=500,                # number of warmup steps for learning rate scheduler
    weight_decay=0.01,               # strength of weight decay
    logging_dir='./logs', 
    
)

trainer = Trainer(
    model=model,
    args=training_args,
    data_collator=data_collator,
    train_dataset=train_dataset,
    prediction_loss_only=True,
)

trainer.train()
```
I get ""CUDA out of memory. Tried to allocate 40.00 MiB (GPU 0; 14.73 GiB total capacity; 13.61 GiB already allocated; 31.88 MiB free; 13.98 GiB reserved in total by PyTorch)""

When I run nvidia-smi I see:

```
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.87.01    Driver Version: 418.87.01    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+================
|   0  Tesla T4            Off  | 00000000:00:04.0 Off |                    0 |
| N/A   75C    P0    34W /  70W |  15047MiB / 15079MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla T4            Off  | 00000000:00:05.0 Off |                    0 |
| N/A   56C    P0    29W /  70W |   9479MiB / 15079MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|===============================================
|    0      1756      C   /opt/conda/bin/python                      15037MiB |
|    1      1756      C   /opt/conda/bin/python                       9469MiB |
+-----------------------------------------------------------------------------+
```
**My question is:** Am I making a mistake? or how can a large model be trained with multiple GPUs?
",,,,,,,,,,1
854,https://github.com/huggingface/transformers/issues/7833,7833,[],closed,2020-10-15 19:18:30+00:00,,9,[s2s trainer] tests fail on multi-gpu machine,"#### Command
```bash
RUN_SLOW=1 USE_CUDA=1 pytest examples/seq2seq/test_finetune_trainer.py
```


#### Traceback
```python
=========================================================== test session starts ===========================================================
platform linux -- Python 3.7.4, pytest-5.3.5, py-1.8.1, pluggy-0.13.1
rootdir: /home/shleifer/transformers_fork, inifile: pytest.ini
plugins: forked-1.1.3, hydra-core-1.0.0, xdist-1.31.0, requests-mock-1.8.0
collected 2 items

examples/seq2seq/test_finetune_trainer.py /home/shleifer/transformers_fork/src/transformers/training_args.py:339: FutureWarning: The `evaluate_during_training` argument is deprecated in favor of `evaluation_strategy` (which has more options)
  FutureWarning,
F/home/shleifer/transformers_fork/src/transformers/training_args.py:339: FutureWarning: The `evaluate_during_training` argument is deprecated in favor of `evaluation_strategy` (which has more options)
  FutureWarning,
F

================================================================ FAILURES =================================================================
__________________________________________________________ test_finetune_trainer __________________________________________________________

    def test_finetune_trainer():
>       output_dir = run_trainer(1, ""12"", MBART_TINY, 1)

examples/seq2seq/test_finetune_trainer.py:19:
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
examples/seq2seq/test_finetune_trainer.py:105: in run_trainer
    main()
examples/seq2seq/finetune_trainer.py:294: in main
    model_path=model_args.model_name_or_path if os.path.isdir(model_args.model_name_or_path) else None
src/transformers/trainer.py:583: in train
    train_dataloader = self.get_train_dataloader()
src/transformers/trainer.py:386: in get_train_dataloader
    train_sampler = self._get_train_sampler()
examples/seq2seq/seq2seq_trainer.py:108: in _get_train_sampler
    self.args.per_device_train_batch_size, distributed=self.args.n_gpu > 1
examples/seq2seq/utils.py:156: in make_sortish_sampler
    return DistributedSortishSampler(self, batch_size, shuffle=shuffle, **kwargs)
examples/seq2seq/utils.py:368: in __init__
    num_replicas = dist.get_world_size()
../miniconda3/envs/nb/lib/python3.7/site-packages/torch/distributed/distributed_c10d.py:582: in get_world_size
    return _get_group_size(group)
../miniconda3/envs/nb/lib/python3.7/site-packages/torch/distributed/distributed_c10d.py:196: in _get_group_size
    _check_default_pg()
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

    def _check_default_pg():
        """"""
        Helper that checks if the default ProcessGroup has been initialized, with
        assertion

        """"""
        assert _default_pg is not None, \
>           ""Default process group is not initialized""
E       AssertionError: Default process group is not initialized

../miniconda3/envs/nb/lib/python3.7/site-packages/torch/distributed/distributed_c10d.py:187: AssertionError
_______________________________________________________ test_finetune_trainer_slow ________________________________________________________

    @slow
    def test_finetune_trainer_slow():
        # TODO(SS): This will fail on devices with more than 1 GPU.
        # There is a missing call to __init__process_group somewhere
>       output_dir = run_trainer(eval_steps=2, max_len=""128"", model_name=MARIAN_MODEL, num_train_epochs=3)

examples/seq2seq/test_finetune_trainer.py:30:
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
examples/seq2seq/test_finetune_trainer.py:105: in run_trainer
    main()
examples/seq2seq/finetune_trainer.py:294: in main
    model_path=model_args.model_name_or_path if os.path.isdir(model_args.model_name_or_path) else None
src/transformers/trainer.py:583: in train
    train_dataloader = self.get_train_dataloader()
src/transformers/trainer.py:386: in get_train_dataloader
    train_sampler = self._get_train_sampler()
examples/seq2seq/seq2seq_trainer.py:108: in _get_train_sampler
    self.args.per_device_train_batch_size, distributed=self.args.n_gpu > 1
examples/seq2seq/utils.py:156: in make_sortish_sampler
    return DistributedSortishSampler(self, batch_size, shuffle=shuffle, **kwargs)
examples/seq2seq/utils.py:368: in __init__
    num_replicas = dist.get_world_size()
../miniconda3/envs/nb/lib/python3.7/site-packages/torch/distributed/distributed_c10d.py:582: in get_world_size
    return _get_group_size(group)
../miniconda3/envs/nb/lib/python3.7/site-packages/torch/distributed/distributed_c10d.py:196: in _get_group_size
    _check_default_pg()
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

    def _check_default_pg():
        """"""
        Helper that checks if the default ProcessGroup has been initialized, with
        assertion

        """"""
        assert _default_pg is not None, \
>           ""Default process group is not initialized""
E       AssertionError: Default process group is not initialized

../miniconda3/envs/nb/lib/python3.7/site-packages/torch/distributed/distributed_c10d.py:187: AssertionError
========================================================= short test summary info =========================================================
FAILED examples/seq2seq/test_finetune_trainer.py::test_finetune_trainer - AssertionError: Default process group is not initialized
FAILED examples/seq2seq/test_finetune_trainer.py::test_finetune_trainer_slow - AssertionError: Default process group is not initialized
=========================================================== 2 failed in 11.51s ============================================================
```

",,,,,,,,,,1
982,https://github.com/huggingface/transformers/issues/8134,8134,"[{'id': 1314768611, 'node_id': 'MDU6TGFiZWwxMzE0NzY4NjEx', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/wontfix', 'name': 'wontfix', 'color': 'ffffff', 'default': True, 'description': None}]",closed,2020-10-28 20:45:29+00:00,,2,Error with multi-gpu training ,"I'm trying to build a QuestionAnswering model using transformers
It works with single gpu training but fails with multiple gpus. 
Is there any bug in the below code?


```
class QAModel(pl.LightningModule):
    def __init__(self):
        super(QAModel, self).__init__()
        
        self.model_type = parameters[""BaseModel_type""]
        self.config = AutoConfig.from_pretrained(model_name)
        self.base_model = AutoModelForQuestionAnswering.from_pretrained(model_name, config = self.config)
        self.tokenizer = tokenizer
        
        
    def forward(self,
                input_ids=None,
                attention_mask=None,
                token_type_ids=None,
                start_positions=None, 
                end_positions=None):

        outputs = self.base_model(
            input_ids,
            attention_mask=attention_mask,
            token_type_ids=token_type_ids,
            start_positions=start_positions, 
            end_positions=end_positions,
        )

        return outputs

    
    def prepare_data(self):
        self.train_dataset, _, _ = load_data(parameters[""TRAIN_FILE""], is_training=True)
                                                                                
        self.val_dataset, self.val_examples, self.val_features = load_data(parameters[""DEV_FILE""], is_training=False)
                                                                                
        self.test_dataset, self.test_examples, self.test_features = load_data(parameters[""TEST_FILE""], is_training=False)


    def train_dataloader(self):
        return DataLoader(dataset=self.train_dataset, batch_size=parameters[""batch_size""], shuffle=True, num_workers=parameters[""num_threads""])

    def val_dataloader(self):
        return DataLoader(dataset=self.val_dataset, batch_size=parameters[""batch_size""], num_workers=parameters[""num_threads""])

    def test_dataloader(self):
        return DataLoader(dataset=self.test_dataset, batch_size=parameters[""batch_size""], num_workers=parameters[""num_threads""])

    def configure_optimizers(self):
        return torch.optim.Adam(self.parameters(), lr=parameters[""learning_rate""])
    
    def training_step(self, batch, batch_idx):
        inputs = {
                ""input_ids"": batch[0],
                ""attention_mask"": batch[1],
                ""token_type_ids"": batch[2],
                ""start_positions"": batch[3],
                ""end_positions"": batch[4],
            }
        outputs = self.forward(**inputs)        
        loss = outputs[0]
        return {""loss"": loss}    


    def validation_step(self, batch, batch_idx):
        inputs = {
                ""input_ids"": batch[0],
                ""attention_mask"": batch[1],
                ""token_type_ids"": batch[2],
            }

    
        feature_indices = batch[3]

        outputs = self.forward(**inputs)        
                       

model = QAModel()
trainer = pl.Trainer(gpus=-1, distributed_backend='dp', max_epochs=parameters[""epochs""])

trainer.fit(model)
```

I get this error on running it with multiple gpus:
```
RuntimeError: grad can be implicitly created only for scalar outputs
```",,,,,,,,,,1
1127,https://github.com/huggingface/transformers/issues/8424,8424,"[{'id': 1314768611, 'node_id': 'MDU6TGFiZWwxMzE0NzY4NjEx', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/wontfix', 'name': 'wontfix', 'color': 'ffffff', 'default': True, 'description': None}]",closed,2020-11-09 19:21:07+00:00,,6,Electra multi-gpu pretraining.,"Hi, I am pretraining the Electra model with my own data, for now, I am pretraining using one GPU in my machine. Can we use multi GPUs to pretrain Electra? Thanks for your reply
",,,,,,,,,,1
1447,https://github.com/huggingface/transformers/issues/9064,9064,[],closed,2020-12-11 15:11:53+00:00,,1,Embedding documents on multi-GPU single-ode Docker using pretrained models of huggingface transformers and pytorch DistributedDataParallel,"Hi, 
This is a question.
I am trying to embed some documents including a couple of sentences using huggingface transformers models. I have multi-gpu single-node and I want to do embedding parallel and distributed in all 8 gpus. I tried to use pytorch DistributedDataParallel, but I think all sentences are sending to all GPUs and for all sentences, it is returning one tensor. this is a sample code:

import torch
import torch.nn as nn
import torch.nn.functional as F
import time

import argparse
import os

from transformers import AlbertTokenizer, AlbertModel
import numpy
from tqdm import tqdm
from torch.utils.data import DataLoader,TensorDataset

def parse_args():
    parse = argparse.ArgumentParser()
    parse.add_argument(
            '--local_rank',
            dest = 'local_rank',
            type = int,
            default = 0,
            )
    parse.add_argument(""--gpu"", type=str, default='None',
                        help=""choose gpu device."")
    return parse.parse_args()



def train():
    args = parse_args()

    if not args.gpu == 'None':
        device = torch.device(""cuda"")
        os.environ[""CUDA_VISIBLE_DEVICES""]=args.gpu
    else:
        device = torch.device(""cpu"")

    torch.cuda.set_device(args.local_rank)

    torch.distributed.init_process_group(
                backend='nccl',
                init_method='env://',
                )

    tokenizer = AlbertTokenizer.from_pretrained('albert-xxlarge-v2')


    sentences=['I love tea',    
               'He hates tea',
               'We love tea', 
               'python coder',
               'geeksforgeeks',
               'coder in geeksforgeeks']


    sentence_tokens = []
    for sent in (sentences):

        token_id = tokenizer.encode(sent, max_length=128, add_special_tokens=True, pad_to_max_length=True)

        sentence_tokens.append(token_id)
    original_sentences = torch.tensor(sentence_tokens)
    train_dataset = TensorDataset(original_sentences)

    #setup training sampler
    train_sampler = torch.utils.data.distributed.DistributedSampler(train_dataset,num_replicas=len(sentences))

    #setup training data loader with the train sampler setup
    train_dataloader = DataLoader(train_dataset, batch_size=16,sampler=train_sampler, shuffle=False)


    model = AlbertModel.from_pretrained('albert-xxlarge-v2', return_dict=True)

    model = model.to(device)
    model = nn.parallel.DistributedDataParallel(model,
            device_ids = [args.local_rank, ],
            output_device = args.local_rank,\
            find_unused_parameters=True
            )
    for batch in (train_dataloader):

        batch_input_tensors = batch[0].to('cuda')
        outputs = model(batch_input_tensors)
        last_hidden_states = outputs.last_hidden_state

        average= torch.mean(last_hidden_states,dim=1)

if __name__ == ""__main__"":
    train()

all of sentences are sending to all 8 GPUs and output as last_hidden_states is only one tensor. I got the average of tensor elements because I thought at the end they should be same but they aren't. how can do it distributed and sentences distribute to GPUs and embed over there? and finally for each sentence or for my final case each Doc I have one tensor as feature vector? thanks
",,,,,,,,,,1
1615,https://github.com/huggingface/transformers/issues/9371,9371,"[{'id': 1314768611, 'node_id': 'MDU6TGFiZWwxMzE0NzY4NjEx', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/wontfix', 'name': 'wontfix', 'color': 'ffffff', 'default': True, 'description': None}, {'id': 2604155188, 'node_id': 'MDU6TGFiZWwyNjA0MTU1MTg4', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/Benchmarks', 'name': 'Benchmarks', 'color': '2DF372', 'default': False, 'description': 'Issues related to Memory regressions in tests and scripts'}, {'id': 2690307185, 'node_id': 'MDU6TGFiZWwyNjkwMzA3MTg1', 'url': 'https://api.github.com/repos/huggingface/transformers/labels/Performance', 'name': 'Performance', 'color': '207F32', 'default': False, 'description': ''}]",closed,2020-12-31 17:47:12+00:00,,26,Excessive GPU-GPU communication with GPT2 making multi-GPU training slow?,"Summary: on a multi-GPU system, training GPT2 seems to scale poorly unless a very fast GPU-GPU interconnect like NVLink is available. In particular, without NVLink using two GPUs is *slower* than using just one GPU.

## Environment info

- `transformers` version: 4.1.1
- Platform: Linux-5.8.0-rc7-custom-x86_64-with-glibc2.29
- Python version: 3.8.5
- PyTorch version (GPU?): 1.8.0.dev20201214+cu110 (True)
- Tensorflow version (GPU?): not installed (NA)
- Using GPU in script?: Yes
- Using distributed or parallel set-up in script?: No?
- Hardware: 2 x NVIDIA RTX 3090 w/NVLink

### Who can help

Maybe @LysandreJik or @patrickvonplaten ?

## Information

Model I am using (Bert, XLNet ...): GPT2

The problem arises when using:
* [ ] the official example scripts: (give details below)
* [X] my own modified scripts: (give details below)

The script is a pretty basic example of training a medium-size GPT2 from scratch. The script is here: https://panda.moyix.net/~moyix/train_csrc.py

The dataset and tokenized vocab:
* Dataset: https://panda.moyix.net/~moyix/plainsrc_all.txt.gz (718M, gzipped)
* Vocab: https://panda.moyix.net/~moyix/csrc_vocab.tar.gz

The tasks I am working on is:
* [ ] an official GLUE/SQUaD task: (give the name)
* [X] my own task or dataset: (give details below)

Training a GPT2 language model on C source code.

## To reproduce

Run with only one GPU: `CUDA_VISIBLE_DEVICES=0 python train_csrc.py`

Run with two GPUs, NVLink disabled: `NCCL_P2P_DISABLE=1 python train_csrc.py`

Run with two GPUs and NVLink enabled: `python train_csrc.py`

Here is some benchmarking I did with my dataset on transformers 3.3.1 and 4.1.1 (note the difference in ETA is just because 3.3.1 only seems to report the ETA for the current epoch):

Version|NVLINK|GPUs|ETA|Perf
--------|--------|-----|-----|-----
4.1.1 |  Yes  |  2GPU |  419:52:28 |  1.94it/s
4.1.1 |  No   |  2GPU | 1025:06:27 |  1.26s/it
4.1.1 |  N/A  |  1GPU |  599:14:57 |  2.72it/s
3.3.1 |  Yes  |  2GPU |   83:46:51 |  1.94it/s
3.3.1 |  No   |  2GPU |  204:54:22 |  1.26s/it
3.3.1 |  N/A  |  1GPU |  119:02:34 |  2.73it/s

You can see that using two GPUs is actually slower than using a single GPU, unless NVLink is available (599 hours for 1 GPU vs 1025 hours for two GPUs). So presumably there is a large amount of GPU-GPU communication going on?

## Expected behavior

Scaling should be roughly linear with the number of GPUs. Unfortunately I am not very familiar with the implementation details of GPT2 in Huggingface, but others report roughly linear scaling with Transformer models like BERT so it should work here as well: https://towardsdatascience.com/training-bert-at-a-university-eedcf940c754

Although I have  a system with NVLink at home, this issue is still affecting me because I would like to be able to run this on the university HPC cluster, where most nodes do not have NVLink.",,,,,,,,,,1
1764,https://github.com/huggingface/transformers/issues/9642,9642,[],closed,2021-01-17 14:25:43+00:00,,10,Multi-GPU inference with Tensorflow backend,"Is this already supported maybe? I know that multi-GPU TRAINING is supported with TF* models pretty well. But not inference. What is the recommended way when one wants to do inference for a large batch of text (tens of millions rows)? Currently only one of GPUs gets loaded. Tensorflow have a [guide ](https://www.tensorflow.org/tutorials/distribute/save_and_load) on how to use model saved in the native tf format to do distributed inference under a scope:

```python
another_strategy = tf.distribute.MirroredStrategy()
with another_strategy.scope():
  loaded = tf.saved_model.load(saved_model_path)
  inference_func = loaded.signatures[DEFAULT_FUNCTION_KEY]

  dist_predict_dataset = another_strategy.experimental_distribute_dataset(
      predict_dataset)

  # Calling the function in a distributed manner
  for batch in dist_predict_dataset:
    another_strategy.run(inference_func,args=(batch,))
```
However, it seems that transformers do not support saving in this native format? At least TFDistilBertForSequenceClassification, when loaded back, has damaged input signatures (no attention_mask, wrong sequence length, fake None inputs) and can't process anything. And this very tracker is crowded with similar questions which are left unanswered. Can anyone shed some light on best approach to distributed inference please? Also adding a bullet on this to the documentation would be extremely helpful for many folks.",,,,,,,,,,1
2057,https://github.com/huggingface/transformers/issues/10188,10188,[],closed,2021-02-15 12:27:58+00:00,,4,Failing Multi-GPU trainer test,"This test is currently [failing in a multi-GPU setup](https://github.com/huggingface/transformers/runs/1902689616?check_suite_focus=true):

```
FAILED tests/test_trainer_distributed.py::TestTrainerDistributed::test_trainer
```

The error is the following:

```
RuntimeError: NCCL error in: /pytorch/torch/lib/c10d/ProcessGroupNCCL.cpp:784, unhandled system error, NCCL version 2.7.8
```

cc @sgugger @stas00 ",,,,,,,,,,1
2075,https://github.com/huggingface/transformers/issues/10223,10223,[],closed,2021-02-16 23:09:12+00:00,,4,Slow Multi-GPU DDP training with run_clm.py and GPT2,"## Environment info
<!-- You can run the command `transformers-cli env` and copy-and-paste its output below.
     Don't forget to fill out the missing fields in that output! -->

- `transformers` version: 4.3.0
- Platform: Linux-3.10.0-1160.11.1.el7.x86_64-x86_64-with-glibc2.10
- Python version: 3.8.6
- PyTorch version (GPU?): 1.7.0 (True)
- Tensorflow version (GPU?): not installed (NA)
- Using GPU in script?: yes (using official `run_clm.py`)
- Using distributed or parallel set-up in script?: using DDP with `run_clm.py`

### Who can help
<!-- Your issue will be replied to more quickly if you can figure out the right person to tag with @
 If you know how to use git blame, that is the easiest way, otherwise, here is a rough guide of **who to tag**.
 Please tag fewer than 3 people.

Models:

- albert, bert, xlm: @LysandreJik
- blenderbot, bart, marian, pegasus, encoderdecoder,  t5: @patrickvonplaten, @patil-suraj
- longformer, reformer, transfoxl, xlnet: @patrickvonplaten
- fsmt: @stas00
- funnel: @sgugger
- gpt2: @patrickvonplaten, @LysandreJik
- rag: @patrickvonplaten, @lhoestq
- tensorflow: @jplu

Library:

- benchmarks: @patrickvonplaten
- deepspeed: @stas00
- ray/raytune: @richardliaw, @amogkam
- text generation: @patrickvonplaten
- tokenizers: @n1t0, @LysandreJik
- trainer: @sgugger
- pipelines: @LysandreJik

Documentation: @sgugger

HF projects:

- nlp datasets: [different repo](https://github.com/huggingface/nlp)
- rust tokenizers: [different repo](https://github.com/huggingface/tokenizers)

Examples:

- maintained examples (not research project or legacy): @sgugger, @patil-suraj
- research_projects/bert-loses-patience: @JetRunner
- research_projects/distillation: @VictorSanh

 -->
- gpt2: @patrickvonplaten, @LysandreJik
- trainer, maintained examples: @sgugger

## Information

Model I am using (Bert, XLNet ...): gpt2-medium

The problem arises when using:
* [x] the official example scripts: (give details below)
* [ ] my own modified scripts: (give details below)

The tasks I am working on is:
* [ ] an official GLUE/SQUaD task: (give the name)
* [x] my own task or dataset: (give details below)

## To reproduce

Steps to reproduce the behavior:

1. Generate some dummy text data (3000 examples) and save a csv:
```python
import pandas as pd
text = "" "".join(100*[""Here is some very long text.""])
text = 3000*[text]
pd.Series(text).to_frame(""text"").to_csv(""data_temp.csv"",index=False)
```
2. Run official [`run_clm.py`](https://github.com/huggingface/transformers/blob/master/examples/language-modeling/run_clm.py) from examples using 3 gpus and DDP:
```shell
CUDA_VISIBLE_DEVICES=""1,2,3"" python -m torch.distributed.launch --nproc_per_node 3 run_clm.py \
--model_name_or_path gpt2-medium \
--do_train \
--output_dir /proj/semafor/kirill/tmp \
--per_device_train_batch_size 4 \
--block_size 128 \
--train_file data_temp.csv \
--fp16
```
3. Using 3 GeForce RTX 2080Ti with 11Gbs, tqdm says it should approximately take 1 hour: `48/4101 [00:38<53:51,  1.25it/s`. The memory in each GPU is maxed out: ` 10782MiB / 11019MiB `

4. Now, if I just run the same script on a single GPU:
```shell
CUDA_VISIBLE_DEVICES=""3"" python run_clm.py \
--model_name_or_path gpt2-medium \
--do_train \
--output_dir /proj/semafor/kirill/tmp \
--per_device_train_batch_size 4 \
--block_size 128 \
--train_file data_temp.csv \
--fp16
```

It's actually a little faster: `260/12303 [00:57<44:02,  4.56it/s`  and the GPU memory is not maxed out: `9448MiB / 11019MiB`

I can actually double the `--per_device_train_batch_size` from `4 -> 8` and get it down to under 30 mins per epoch: `138/6153 [00:36<26:30,  3.78it/s`

<!-- If you have code snippets, error messages, stack traces please provide them here as well.
     Important! Use code tags to correctly format your code. See https://help.github.com/en/github/writing-on-github/creating-and-highlighting-code-blocks#syntax-highlighting
     Do not use screenshots, as they are hard to read and (more importantly) don't allow others to copy-and-paste your code.-->

## Expected behavior

So I expected that:
-  DDP training on 3 GPUs to be faster than a single GPU (It's actually a little slower).
-  If I can load a batch of 8 on a device in a single GPU mode then it should work in multi-GPU mode as well (it doesn't, I get OOM error).",,,,,,,,,,1
