,Unnamed: 0,html_url,number,labels,state,created_at,pull_request,comments,title,body,rel1,rel2,rel3,rel4,rel5,rel6,rel7,rel8,rel9,rel10
0,115,https://github.com/sloria/TextBlob/issues/293,293,[],open,2019-12-18 04:46:59+00:00,0,0,Python Textblob Sentiment,"Hi Steve,

Thanks a lot for the wonderful package.
I would like to inform that I have been working with Textblob package for sentiment analysis of text.

Could you please help me in understanding the sentiment returned by Textblob.The following text sentiment along with different expectation has been shared for reference.

1.Website is not working.

Textblob sentiment: Neutral with polarity score=0.
Expected sentiment: Negative.

2.Things are resolved.

Textblob sentiment: Neutral with polarity score=0.
Expected sentiment: Positive

3.The process is lengthy.

Textblob sentiment: Neutral with polarity score=0.
Expected sentiment: Negative

4.Cheap Products

Textblob sentiment: Positive with polarity score>0.
Expected sentiment: Negative

Thanks a lot in advance.",1,1,0,0,0,1,0,0,0,1
1,40,https://github.com/sloria/TextBlob/issues/146,146,[],open,2016-12-24 13:51:00+00:00,0,0,"Sentiment Running, but thousands of rows have no data....","Hi, it appears somewhat weird what we are experiencing , same data feed, so nothing there. 

But i'd say a good 50% of our feed is not being analysed. 

We've put it down to 'text blob' not having words or other in it's db to cat or other. 

A) Where can we see the physical db for the TB
B) How can we feed every word/sentence other in to the TB
c) How can we teach it to learn based on the data coming in

Many thanks. ",1,1,1,0,0,0,0,0,0,1
2,10,https://github.com/sloria/TextBlob/issues/108,108,[],open,2016-01-13 21:35:18+00:00,0,0,POS tags with sentiment polarity,"My understanding is that textblob follows pattern's implementation of sentiment analysis, which relies on a feature lexicon of adjectives (http://www.clips.ua.ac.be/pages/pattern-en#sentiment).
Is it expected behavior that when a word that can have multiple syntactic roles (not just adjective) is encountered with a different POS tag, it still will be processed as if it was an adjective?

``` python
In []: tb = TextBlob(""Reliance Jio breaks away from conservative parent firm in marketing LYF smartphone"")

In []: print tb.sentiment.polarity
Out[]: -0.2

In []: for w in tb.words: print (w,TextBlob(w.string).sentiment.polarity) 
Out[]:
('Reliance', 0.0)
('Jio', 0.0)
('breaks', 0.0)
('away', 0.0)
('from', 0.0)
('conservative', 0.0)
('parent', 0.0)
('firm', -0.2)
('in', 0.0)
('marketing', 0.0)
('LYF', 0.0)
('smartphone', 0.0)

In []: print tb.tags
[('Reliance', u'NNP'), ('Jio', u'NNP'), ('breaks', u'VBZ'), ('away', u'RB'), ('from', u'IN'), ('conservative', u'JJ'), ('parent', u'NN'), ('firm', u'NN'), ('in', u'IN'), ('marketing', u'VBG'), ('LYF', u'NNP'), ('smartphone', u'NN')] 
```

The sentiment polarity of the entire sentence is driven by the term 'firm' with a weight of -0.2. However, it seems that this term is included in pattern's lexicon based on it being an adjective, while textblob parses it as a noun in this case. 
Shouldn't it be expected behavior that only tokens parsed as adjectives are looked up from the sentiment lexicon?

This code example reflects textblob version 0.11.0
",1,1,0,0,0,0,0,0,0,1
3,67,https://github.com/sloria/TextBlob/issues/183,183,[],closed,2017-12-05 20:40:48+00:00,0,1,How to calculate the accuracy of NaiveBayesAnalyzer for Sentiment Analysis,NaiveBayesAnalyzer is pre trained i want to use it it on a new test set it will give the result. but the problem is how to test its accuracy for the new set,1,1,0,0,0,0,0,0,0,1
4,83,https://github.com/sloria/TextBlob/issues/209,209,[],open,2018-05-22 14:53:40+00:00,0,2,How can I use TextBlob with Spanish input for sentiment analysis?,"I recently ran a sentiment analysis and polarity test on a sample of tweets with the keyword ""elecciones."" My results indicate that most have a subjectivity and polarity of 0 even when this is clearly not the case. I'm wondering if textblob is missing something because I didn't configure it properly to handle Spanish input? Is there another package or library that I should import to get more accurate subjectivity and polarity data in Spanish? ",1,1,1,0,0,0,0,0,0,1
5,89,https://github.com/sloria/TextBlob/issues/220,220,[],closed,2018-07-17 20:02:07+00:00,0,2,what paper method/ algorithm is used for sentiment analysis?,"what paper method/ algorithm is used for sentiment analysis?
how good is it, what performance are?
Thanks",1,1,0,0,0,0,0,0,0,1
6,104,https://github.com/sloria/TextBlob/issues/272,272,[],open,2019-06-17 16:26:34+00:00,0,0,The range of neutral sentiment?,"Hello, 

May I ask for the TextBlob, what is the sentiment range of neutral emotion is? I know from -1 to 1, -1 represents pretty negative while 1 means very positive. But does TextBlob defines a range that can represents the neutral emotion, for example, [-0.05,0.05]?

",1,1,0,0,0,0,0,0,0,1
7,71,https://github.com/sloria/TextBlob/issues/190,190,[],open,2018-01-25 10:38:16+00:00,0,0,Negative or above 1 subjectivity sentiment using text blob fr,"Hello,

I am using the French extension to textblob, the textblob-fr available on github here: https://github.com/sloria/textblob-fr.

I am interested in calculating the sentiment polarity and subjectivity measures. 
However I thought (it is definitly the case in the English case) the range of the subjectivity index was [0,1], and yet for a very small number of cases I find a >1 or <0 subjectivity value.

Where could this come from?

Example:
text=""Il vrai qu'avec seulement trois grandes valeurs il n'a pas de quoi occuper des analystes 鑴?temps plein.""
blob=TextBlob(text, pos_tagger=PatternTagger(), analyzer=PatternAnalyzer())
print(blob.sentiment[1])

I get : 6.083333333333333",1,0,0,0,0,0,0,0,0,1
8,84,https://github.com/sloria/TextBlob/issues/211,211,[],closed,2018-06-04 06:22:14+00:00,0,2,how can I use Chinese language sentiment analysis,"am trying to do sentiment analysis for Chinese language. it's not working properly. I added training data also it's not working 
",1,1,0,0,0,0,0,0,0,1
9,126,https://github.com/sloria/TextBlob/issues/329,329,[],open,2020-06-08 14:36:51+00:00,0,0,out of vocab words results in neutral sentiment,"![image](https://user-images.githubusercontent.com/13018526/84043012-c8989f00-a973-11ea-8bcb-46099955c6d9.png)

- death is definitely not positive, at least most of the cases the word death implies sad/ negative emotion

- Empathy is strong positive word, but Textblob predicts it as neutral.

 
",1,0,0,0,0,0,0,0,0,1
10,128,https://github.com/sloria/TextBlob/issues/335,335,[],open,2020-06-29 21:17:46+00:00,0,0,updating built-in sentiment analysis,"I have a situation where there are certain words that are 100% positive or negative even if they wouldn't typically be categorized that way.

Is there any way to update the built-in analysis to include these domain dependant words without needing to build a brand new classifier?",1,0,0,0,0,0,0,0,0,1
11,132,https://github.com/sloria/TextBlob/issues/344,344,[],open,2020-09-07 06:33:43+00:00,0,1,What algorithm is used in sentiment analysis?,"We are writing an article, 
using TextBlob calculation of English emotion, 
can you tell us what algorithm we used? 
Thank you very much",1,0,0,0,0,0,0,0,0,1
12,150,https://github.com/sloria/TextBlob/issues/391,391,[],open,2021-07-16 09:37:57+00:00,0,0,Bugs in calculating sentiment,"I found bugs in calculating sentiment: 
- Sentiment for the phrase ""definitely happy"" is the same as sentiment for word ""happy"" (polarity=0.8, subjectivity=1.0) - but ""definitely"" has intensity=""2.0"", so polarity of ""definitely happy"" should by 1.0.
- Sentiment for ""very no happy"" is (polarity=-0.5, subjectivity=1.0) and for ""very not happy"" is (polarity=-0.1, subjectivity=0.65) - but it should be the same.",1,0,0,0,0,0,0,0,0,1
13,146,https://github.com/sloria/TextBlob/issues/375,375,[],open,2021-03-22 21:11:53+00:00,0,0,python -m textblob.download_corpora not win32 error on valid python 3,"raceback (most recent call last):
  File ""C:\Users\Andrew\AppData\Local\Programs\Python\Python37\lib\runpy.py"", line 183, in _run_module_as_main
    mod_name, mod_spec, code = _get_module_details(mod_name, _Error)
  File ""C:\Users\Andrew\AppData\Local\Programs\Python\Python37\lib\runpy.py"", line 109, in _get_module_details
    __import__(pkg_name)
  File ""C:\AA\dev\python\first\venv\lib\site-packages\textblob\__init__.py"", line 2, in <module>
    from .blob import TextBlob, Word, Sentence, Blobber, WordList
  File ""C:\AA\dev\python\first\venv\lib\site-packages\textblob\blob.py"", line 28, in <module>
    import nltk
  File ""C:\AA\dev\python\first\venv\lib\site-packages\nltk\__init__.py"", line 128, in <module>
    from nltk.collocations import *
  File ""C:\AA\dev\python\first\venv\lib\site-packages\nltk\collocations.py"", line 39, in <module>
    from nltk.metrics import (
  File ""C:\AA\dev\python\first\venv\lib\site-packages\nltk\metrics\__init__.py"", line 16, in <module>
    from nltk.metrics.scores import (
  File ""C:\AA\dev\python\first\venv\lib\site-packages\nltk\metrics\scores.py"", line 15, in <module>
    from scipy.stats.stats import betai
  File ""C:\AA\dev\python\first\venv\lib\site-packages\scipy\__init__.py"", line 136, in <module>
    from . import _distributor_init
  File ""C:\AA\dev\python\first\venv\lib\site-packages\scipy\_distributor_init.py"", line 61, in <module>
    WinDLL(os.path.abspath(filename))
  File ""C:\Users\Andrew\AppData\Local\Programs\Python\Python37\lib\ctypes\__init__.py"", line 356, in __init__
    self._handle = _dlopen(self._name, mode)
OSError: [WinError 193] %1 is not a valid Win32 application",0,0,0,0,0,1,0,1,1,0
