,html_url,number,labels,state,created_at,comments,title,body,rel1,rel2,rel3,rel4,rel5,rel6,rel7,rel8,rel9,rel10
1274,https://github.com/allenai/allennlp/issues/3232,3232,[],closed,2019-09-10 00:18:55+00:00,4, Could not find a version that satisfies the requirement torch,"**Describe the bug**
I have followed the installation instructions mentioned on the Github Readme and from the Allenai Website, but I always received the following prompt on the command line. 

  ERROR: Could not find a version that satisfies the requirement torch<1.2,>=0.4.1 (from allennlp) (from versions: 0.1.2, 0.1.2.post1, 0.1.2.post2)
ERROR: No matching distribution found for torch<1.2,>=0.4.1 (from allennlp)

I have tried installing the conda environment, but that has failed also. I received the same error regardless of the method of installation.  

**To Reproduce**
Steps to reproduce the behavior
1. Install Anaconda and ensure that its part of your PATH
2. From the command prompt, run the following conda create -n allennlp python=3.6
2. Activate conda enviroment via 'conda activate allennlp' 
3. Then install the allennlp running the following on the command prompt: pip install allennlp
4. See error
![image](https://user-images.githubusercontent.com/38084191/64574262-47ed3980-d334-11e9-9a26-e2cfeace579c.png)

**Expected behavior**
I expected a clean download and install of the allennlp.

**System (please complete the following information):**
 - OS: Windows 10 Pro
 - Python version: Python 3.6.9 and Python 3.7.3
 - AllenNLP version: trying to install from master
 - PyTorch version: (if you installed it yourself)

**Additional context**
Add any other context about the problem here.",2,0,0,0,0,0,0,0,0,0
2256,https://github.com/allenai/allennlp/issues/5425,5425,"[{'id': 2395308352, 'node_id': 'MDU6TGFiZWwyMzk1MzA4MzUy', 'url': 'https://api.github.com/repos/allenai/allennlp/labels/question', 'name': 'question', 'color': '1d76db', 'default': True, 'description': ''}, {'id': 2763124639, 'node_id': 'MDU6TGFiZWwyNzYzMTI0NjM5', 'url': 'https://api.github.com/repos/allenai/allennlp/labels/stale', 'name': 'stale', 'color': 'ededed', 'default': False, 'description': None}]",closed,2021-09-29 05:37:46+00:00,2,allennlp version with torch version ,"I would like to know the comparison table between the allennlp version and the torch version, can anyone help? thx so much ",2,0,0,0,0,0,0,0,0,0
60,https://github.com/allenai/allennlp/issues/704,704,[],closed,2018-01-22 18:49:13+00:00,1,Pytorch 0.4 numpy indexing,"It seems like numpy indexing isn't supported in pytorch 0.4, so changing `sequence_lengths = mask.sum(dim=1).data.cpu().numpy()` to `sequence_lengths = mask.sum(dim=1).data.cpu().tolist()` in nn/util.py helps the elmo tests pass.",2,0,0,0,0,0,0,0,0,0
16,https://github.com/allenai/allennlp/issues/550,550,[],closed,2017-11-29 18:21:37+00:00,20,Import errors for Token class after installing AllenNLP via pip.,"Hello,
I've installed Allennlp using pip, and I'm trying to run some demos and follow tutorials.
Tried to import Token class in several different ways, seems something is broken.
Thanks for your support!

**ERROR**: ModuleNotFoundError: No module named 'allennlp.data. ...
from allennlp.data.tokenizers.token import Token
from allennlp.data.tokenizers import Token
",1,1,1,0,0,0,0,0,0,0
97,https://github.com/allenai/allennlp/issues/856,856,[],closed,2018-02-15 19:46:31+00:00,3,create an easy way for people to test that their pip install is working correctly and that they've got all the right dependencies and downloads,"possibly something as simple as adding a

```
python -m allennlp.run test-install
```

command or something",1,1,0,0,0,0,0,0,0,0
226,https://github.com/allenai/allennlp/issues/1178,1178,[],closed,2018-05-06 14:05:43+00:00,2,Unable to install allennlp via pip in Windows,"When I tried installing allennlp in my machine with following configuration,
```
Windows 10 x64
Python 3.6.5
```

I am getting the following error,

```
Collecting allennlp
  Using cached https://files.pythonhosted.org/packages/c5/60/fa613bdea022bd6c26176f5786efcc0b5a6d8acf97131e324179a99fcbaf/allennlp-0.4.2-py3-none-any.whl
Collecting psycopg2 (from allennlp)
  Using cached https://files.pythonhosted.org/packages/00/95/4c5d19affca312e1c06d4f88241ebc564bf5269addd191ec4962f0c93553/psycopg2-2.7.4-cp36-cp36m-win32.whl
Collecting flask==0.12.1 (from allennlp)
  Using cached https://files.pythonhosted.org/packages/f4/43/fb2d5fb1d10e1d0402dd57836cf9a78b7f69c8b5f76a04b6e6113d0d7c5a/Flask-0.12.1-py2.py3-none-any.whl
Collecting scipy (from allennlp)
  Using cached https://files.pythonhosted.org/packages/30/2a/8bd20295c774e3f19b5f8b71d75ef7e802673852ca3ae2e1d231d0f1c7a2/scipy-1.1.0-cp36-none-win32.whl
Requirement already satisfied: typing in c:\users\user\appdata\local\programs\python\python36-32\lib\site-packages (from allennlp) (3.5.3.0)
Collecting pyhocon==0.3.35 (from allennlp)
  Downloading https://files.pythonhosted.org/packages/95/b9/72883593ce531e95ac8190e251ae6f5377eada69504248bf1aebfce4c5b4/pyhocon-0.3.35.tar.gz (94kB)
    100% |████████████████████████████████| 102kB 238kB/s
Requirement already satisfied: numpy in c:\users\user\appdata\local\programs\python\python36-32\lib\site-packages (from allennlp) (1.12.1)
Collecting torch==0.3.1 (from allennlp)
  Could not find a version that satisfies the requirement torch==0.3.1 (from allennlp) (from versions: 0.1.2, 0.1.2.post1)
No matching distribution found for torch==0.3.1 (from allennlp)
```

How can I fix this ?",1,1,0,0,0,0,0,0,0,0
245,https://github.com/allenai/allennlp/issues/1228,1228,[],closed,2018-05-16 22:53:36+00:00,2,running allennlp test-install after installing with pip leads to many errors,"After installing AllenNLP with: `pip install git+git://github.com/allenai/allennlp.git` and running `allennlp test-install`, a bunch of errors come up. Raising an issue just to enumerate them all. A full gist of the test traceback is here: https://gist.github.com/nelson-liu/78d08ad0090ad8f95c34675942f5bb4d

- The biggest issue is that we lose the directory structure in the repo. For example, `allennlp` with pip would get installed in `/home/nfliu/miniconda3/envs/test/lib/python3.6/site-packages/allennlp`. this contains _only_ the module (so it's [this folder](https://github.com/allenai/allennlp/tree/master/allennlp)).  The `tutorials`, `scripts`, `READMEs`, etc. aren't actually installed anywhere, so all of the paths in the tests break (e.g., script tests that shell out to run `perl ./scripts/some_eval_script.pl`).

- On a separate related note it looks like the precompiled custom extensions in the module aren't copied over either, maybe because they're not `.py` files and they get ignored automatically? This makes the `test_custom_extensions` / `alternating_lstm` tests break, even though they should work. This also means that custom extensions in general aren't working in the `pip install`ed version of allennlp.

## Things that are actually broken in the pip-installed version

- the custom highway lstm (since the extensions aren't included). fixed by #1229 
- `evalb_bracketing_scorer`, since `scripts/EVALB` does not exist. fixed by #1233 
- any tests that rely on files in `./tutorials` and `./scripts`. wip solution in #1232 

The other test errors are just errors with the tests themselves, not with the allennlp package. Which is unfortunate, but it doesn't affect _core_ library functionality.",1,1,0,0,0,0,0,0,0,0
288,https://github.com/allenai/allennlp/issues/1332,1332,[],closed,2018-06-03 12:30:35+00:00,5,Unable to install allennlp via pip,"When I tried to install allennlp via pip3, I ran into this issue:
```
sanic-plugins-framework 0.5.2.dev20180201 has requirement sanic>=0.7.0, but you'll have sanic 0.6.0 which is incompatible.
sanic-cors 0.9.4 has requirement sanic>=0.7.0, but you'll have sanic 0.6.0 which is incompatible.
```
I suspect that it's because in the setup.py, the required installs are:
```
sanic==0.6.0
sanic-cors
```
And the latest version of sanic-cors is incompatible with sanic==0.6.0.

Does anybody know how to deal with this problem? Thanks  alot!",1,1,0,0,0,0,0,0,0,0
348,https://github.com/allenai/allennlp/issues/1471,1471,[],closed,2018-07-10 06:12:57+00:00,4,pip install and no 'elmo.py' in modules,"I downloaded allennlp via pip to use Elmo, however, the pip-version does not support elmo yet",1,1,0,0,0,0,0,0,0,0
429,https://github.com/allenai/allennlp/issues/1662,1662,[],closed,2018-08-24 17:43:03+00:00,9,When running pip-installed AllenNLP in AllenNLP source directory uses source files.,"**Describe the bug**

If i run the pip-installed AllenNLP in the allennlp source directory (e.g., if i want to train with the pip-version on one of the training configs in the source directory).


**To Reproduce**
Steps to reproduce the behavior
```
cd ~
conda create -n allennlp_pip python=3.6
source activate allennlp_pip
pip install allennlp

cd /allennlp/source/directory
allennlp train --help
```

**Expected behavior**

No crash, since it uses the pip version.

**Actual behavior**

I get an import error because it tries to import the files in the source directory, which have different requirements than the current pip installed version:

```
$ allennlp train --help
Traceback (most recent call last):
  File ""/Users/nfliu/miniconda3/envs/allennlp_pip/lib/python3.6/runpy.py"", line 193, in _run_module_as_main
    ""__main__"", mod_spec)
  File ""/Users/nfliu/miniconda3/envs/allennlp_pip/lib/python3.6/runpy.py"", line 85, in _run_code
    exec(code, run_globals)
  File ""/Users/nfliu/Documents/Github/allennlp/allennlp/run.py"", line 15, in <module>
    from allennlp.commands import main  # pylint: disable=wrong-import-position
  File ""/Users/nfliu/Documents/Github/allennlp/allennlp/commands/__init__.py"", line 6, in <module>
    from allennlp.commands.configure import Configure
  File ""/Users/nfliu/Documents/Github/allennlp/allennlp/commands/configure.py"", line 22, in <module>
    from allennlp.common.configuration import configure, Config, render_config
  File ""/Users/nfliu/Documents/Github/allennlp/allennlp/common/__init__.py"", line 1, in <module>
    from allennlp.common.params import Params
  File ""/Users/nfliu/Documents/Github/allennlp/allennlp/common/params.py"", line 30, in <module>
    from allennlp.common.file_utils import cached_path
  File ""/Users/nfliu/Documents/Github/allennlp/allennlp/common/file_utils.py"", line 16, in <module>
    import boto3
ModuleNotFoundError: No module named 'boto3'
```

**System (please complete the following information):**
 - OS: OS X
 - Python version: 3.6.6
 - AllenNLP version: 0.6
 - PyTorch version: 0.4.1

cc: @schmmd / @joelgrus , any clue of what's going on here? Maybe something odd with PYTHONPATH?",1,1,0,0,0,0,0,0,0,0
