,html_url,number,labels,state,created_at,comments,title,body,rel
9,https://github.com/RaRe-Technologies/gensim/issues/1586,1586,[],closed,2017-09-12 03:13:19+00:00,4,Building Vector for a sentence in doc2vec from an untrained data set,"I do have a dataset (corpus size = 6 million).

Environment And Package Version:
`Linux-3.10.0-327.18.2.el7.x86_64-x86_64-with-redhat-7.2-Maipo`
`Python 3.6.0 |Anaconda 4.3.1 (64-bit)| (default, Dec 23 2016, 12:22:00) `
`[GCC 4.4.7 20120313 (Red Hat 4.4.7-1)]`
`NumPy 1.13.1`
`SciPy 0.19.1`
`gensim 2.3.0`
`FAST_VERSION 1`

I have trained the Doc2Vec model using below steps and parameters:
Step 1: Preprocessing:
Change to lower case

Step 2: Preparing the Tagged Document.

`docs = []`
`docs = [TaggedDocument(words = desc.split(),tags=[df['UNQ_ID'].ix[idx]]) for idx,desc in` `enumerate(df['DOCUMENT'].values)]`


Step 3: Model Training.

`iteration = 150`
`model = gensim.models.Doc2Vec(size=300, window=8, min_count=5, workers=8,   iter=iteration)`
`model.build_vocab(docs)`
`model.train(docs, total_examples=model.corpus_count, epochs=model.iter)`


Step 4: Save the Model.

`model.save(SAVE_NAME)`


Step 5: Find Similarity:

`UNIQUE_ID='XXX'`
`sims = mod.docvecs.most_similar(UNIQUE_ID, topn=5)`


For existing trained documents, the similarity score is above 0.8 on the average. This is good as per my use case.

There are cases. when new untrained documents are encountered.
Those scenarios, give below error:
TypeError: '<' not supported between instances of 'str' and 'int'

I tried using infec_vector() using below steps and parameters.


`UNIQUE_ID='XXX'`
`try:`
`            sims = mod.docvecs.most_similar(UNIQUE_ID, topn=5)`
`            print(""EXECUTING REGULAR mod.docvecs.most_similar"")`
`except:`
`            token = df.loc[df['UNQ_ID']==UNIQUE_ID].DOCUMENT`
`            token = token.str.split()`
`            mod.random.seed(0)`
`            new_vector = mod.infer_vector(token, steps=150)`
`            sims = mod.docvecs.most_similar([new_vector], topn=5) `
`            print(""EXECUTING infer_vector mod.docvecs.most_similar"")`
`sims`


But the similarity score is very less; for the inferred vectors.

Please let know, is there any way through which we can better logical similarity score for untrained documents.

Or other way around, how can we do real time training for Untrained documents.

Googling Around: I got below link: 
[https://stackoverflow.com/questions/32796485/building-vector-for-a-sentence-in-doc2vec-from-an-untrained-data-set?rq=1]
But in latest Gensim version (Gensim 2.3.0), we need to build_vocab before train. In real time, build_vocab for entire data set, will take more time.

`Note:`
Fixed the non-deterministic behaviour of infer_vector() using this link:
https://github.com/RaRe-Technologies/gensim/issues/447",2
18,https://github.com/RaRe-Technologies/gensim/issues/1600,1600,"[{'id': 175640, 'node_id': 'MDU6TGFiZWwxNzU2NDA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/feature', 'name': 'feature', 'color': '0b02e1', 'default': False, 'description': 'Issue described a new feature'}, {'id': 234670, 'node_id': 'MDU6TGFiZWwyMzQ2NzA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20medium', 'name': 'difficulty medium', 'color': '00d000', 'default': False, 'description': 'Medium issue: required good gensim understanding & python skills'}]",open,2017-09-26 11:18:39+00:00,1,Only take forward window step of a sentence for Word2vec,"According to Word2vec doc, the parameter window is the maximum distance between the current and predicted word within a sentence, it will take backward and forward distance around a word as a context, 
but how can I only take the forward distance, add a patch? 
",2
19,https://github.com/RaRe-Technologies/gensim/issues/1601,1601,[],closed,2017-09-28 10:34:40+00:00,2,Word2Vec RAM error when vector size is large,"I'm using word2vec model on MacBook with 16GB of RAM. The input text is 45GB in h5df. 

When the vector size is 50. It runs successfully. When the vector size is 100, it prints

>2017-09-28 14:52:30,736 : INFO : PROGRESS: at 0.29% examples, 42940 words/s, in_qsize 0, out_qsize 0
>Killed: 9 

How can I solve this error?

",1
82,https://github.com/RaRe-Technologies/gensim/issues/1743,1743,"[{'id': 175641, 'node_id': 'MDU6TGFiZWwxNzU2NDE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/bug', 'name': 'bug', 'color': 'e10c02', 'default': True, 'description': 'Issue described a bug'}, {'id': 234670, 'node_id': 'MDU6TGFiZWwyMzQ2NzA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20medium', 'name': 'difficulty medium', 'color': '00d000', 'default': False, 'description': 'Medium issue: required good gensim understanding & python skills'}]",closed,2017-11-28 20:01:41+00:00,5,`save/load_word2vec_format` fails for `FastText` models,"#### Description
Saving and loading using `save_word2vec_format` and `load_word2vec_format` fails for both native FastText models and models loaded using the wrapper.
#### Steps/Code/Corpus to Reproduce
Example:
```python
from gensim.models import fasttext as ft
from gensim.models.wrappers import fasttext as ft_wrapper
from gensim.models.word2vec import Text8Corpus

corpus = Text8Corpus('gensim/test/test_data/lee_background.cor')
native_model = ft.FastText()
native_model.build_vocab(corpus)

print(native_model.wv.most_similar('wars'))
>>> # prints results

print(native_model.wv['wars'])
>>> # prints results

native_model.wv.save_word2vec_format('test.wv')
wv = ft_wrapper.FastTextKeyedVectors.load_word2vec_format('test.wv')
```

```
print(wv.most_similar('wars'))

---------------------------------------------------------------------------
TypeError                                 Traceback (most recent call last)
<ipython-input-5-43e12f136081> in <module>()
----> 1 print(wv.most_similar('wars'))

~/Projects/gensim/gensim/gensim/models/keyedvectors.py in most_similar(self, positive, negative, topn, restrict_vocab, indexer)
    318             negative = []
    319 
--> 320         self.init_sims()
    321 
    322         if isinstance(positive, string_types) and not negative:

~/Projects/gensim/gensim/gensim/models/wrappers/fasttext.py in init_sims(self, replace)
    125             else:
    126                 self.syn0_ngrams_norm = \
--> 127                     (self.syn0_ngrams / sqrt((self.syn0_ngrams ** 2).sum(-1))[..., newaxis]).astype(REAL)
    128 
    129     def __contains__(self, word):

TypeError: unsupported operand type(s) for ** or pow(): 'NoneType' and 'int'
```

```
print(wv['wars'])

---------------------------------------------------------------------------
AttributeError                            Traceback (most recent call last)
<ipython-input-6-ce05f767b013> in <module>()
----> 1 print(wv['wars'])

~/Projects/gensim/gensim/gensim/models/keyedvectors.py in __getitem__(self, words)
    601         if isinstance(words, string_types):
    602             # allow calls like trained_model['office'], as a shorthand for trained_model[['office']]
--> 603             return self.word_vec(words)
    604 
    605         return vstack([self.word_vec(word) for word in words])

~/Projects/gensim/gensim/gensim/models/wrappers/fasttext.py in word_vec(self, word, use_norm)
     91             return super(FastTextKeyedVectors, self).word_vec(word, use_norm)
     92         else:
---> 93             word_vec = np.zeros(self.syn0_ngrams.shape[1], dtype=np.float32)
     94             ngrams = compute_ngrams(word, self.min_n, self.max_n)
     95             ngrams = [ng for ng in ngrams if ng in self.ngrams]

AttributeError: 'NoneType' object has no attribute 'shape'
```

From a quick glance, it looks like this resulted from the changes made to `FastTextKeyedVectors` during the native implementation of `FastText` where two different matrices - `syn0_vocab` and `syn0_ngrams` were created.
Although, I'm not sure `save_word2vec_format` is even suitable for `FastText` seeing as how the ngram vectors aren't stored to disk.",1
885,https://github.com/RaRe-Technologies/gensim/issues/3152,3152,[],open,2021-05-18 13:40:01+00:00,6,standardize 'corpus_iterable' (over 'sentences') everywhere,"I'd thought that after our discussion on the merits of changing `sentences` to `corpus_iterable` during other renaming/refactoring, I'd changed it everywhere. But after this SO question – https://stackoverflow.com/q/67573416/130288 – I see that `sentences` persists a bunch of places, like the `Word2Vec`/`FastText` initializers & some of the doc-comment examples, including the `FastText` doc-comment – but is not supported elsewhere, such as the `build_vocab()`/`train()` methods specifically shown as using it in the doc-comments.  

To TLDR that discussion: `sentences` often confuses users into thinking that they *must* run a sentences-splitter, as if the algorithms only work on true 'sentences'. It also seems slightly more likely for people to assume that any string-containing-a-sentence is ok, rather than a list-of-tokens. It also is somewhat in-apt with regard to `Doc2Vec`, or the common use of these algorithms on data that isn't literally natural-language sentences. Using `corpus_iterable` instead helps re-emphasize that the 'iterable' interface is all-important – a source of many usage erros – and has a useful parallelism to the `corpus_file` alternative, as only one or the other of `corpus_iterable` or `corpus_file` should be provided. (To the extent it then requires someone to look at the doc-comment, rather than assume the type of its individual items, it might also provide a better hook for communicating the requirement that each item be a list-of-tokens.)

I think for consitency all use of `sentences` should be eliminated, in method signatures & docs, in favor of `corpus_iterable`. ",1
15,https://github.com/RaRe-Technologies/gensim/issues/1595,1595,[],closed,2017-09-20 05:03:13+00:00,5,Can not load LineSentencePath ,"`sentences =  gensim.models.word2vec.LineSentencePath('/apsarapangu/disk3/yanan/')`

I try to specify the path to read the files under it. There are many files in the path as sentences.
But it comes that `'module' object has no attribute 'LineSentencePath'`.
What's wrong with it ?
Any example code about how to read huge files as sentences ? ",1
28,https://github.com/RaRe-Technologies/gensim/issues/1623,1623,"[{'id': 175640, 'node_id': 'MDU6TGFiZWwxNzU2NDA=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/feature', 'name': 'feature', 'color': '0b02e1', 'default': False, 'description': 'Issue described a new feature'}, {'id': 233082, 'node_id': 'MDU6TGFiZWwyMzMwODI=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20hard', 'name': 'difficulty hard', 'color': '00a000', 'default': False, 'description': 'Hard issue: required deep gensim understanding & high python/cython skills'}]",closed,2017-10-11 06:03:13+00:00,17,"Potential unification/optimization/simplification/enhancement refactor of *2Vec & related algorithms (FastText, Sent2Vec, FastSent, etc)","Word2Vec, Doc2Vec, FastText, FastSent (#612), Sent2Vec (#1376), 'Doc2VecWithCorruption' (#1159) and others are variants on the same core technique. They should share more code, and perhaps even be implemented as alternate parameter-choices on the same refactored core functions.

A big refactoring (including from-scratch API design) could potentially offer some or all of the following:

1. sharing more code between different modes (SG/CBOW/DBOW/DM/FastText-classification/other), by discovering the ways they're parameterized variants of a shared process

2. making other creative variations possible, even if just experimentally (different kinds of context-windows, dropout strategies, alternate learning-optimizations like AdaGrad/etc, re-weightings of individual examples/vectors, separate input/output vocabularies, 'bloom embeddings', more kinds of 'inference', etc)

3. making it easier to use non-natural-language datasets, perhaps by providing ability to supply examples in an interim (raw-int-indexes) format (other than string tokens), and example transformer/caching classes that turn either texts or other corpuses into the right format

4. eliminating the hard-to-maintain dual-path pure-Python & Cython implementations - perhaps by going to something like Numba-only, or removing the (performance-non-competitive) pure-Python paths whenever Cython code is clean enough

5. avoiding common user errors & sources of confusion - by renaming parameters/methods, updating defaults, separating logically distinct steps into independent code/classes – then providing updated demo notebooks showing the new modes of operation

6. throughput optimizations, including getting away from the 'master single-corpus-reader thread', or using processes rather than threads if that's the only way to avoid GIL contention bottlenecks

7. separating vocabulary-management into explicitly different classes/objects, for more control/customization, perhaps including closer integration with new n-gram (phrasing) options

",1
0,https://github.com/RaRe-Technologies/gensim/issues/1564,1564,[],closed,2017-09-04 18:49:00+00:00,9,Cannot get weights from get_embedding_layer ,"So basically i am training a doc2vec model. I came across something called get_embedding_layer in KeyedVectors class which returns a embedding layer. But I am unable to retrieve the weights for this layer. 
The following is my code:
```
text_corpora = [[""hi how are you""],[""I am all good""],[""We are all good""]]
sentences = [TaggedDocument(words= text_corpora[0][0].split(),tags = ['1']),TaggedDocument(words= text_corpora[1][0].split(),tags = ['2']),TaggedDocument(words= text_corpora[2][0].split(),tags = ['3'])]
model = Doc2Vec(size = 200, window = 300, min_count = 1, workers = 4)
model.build_vocab(sentences)

model.train(sentences,total_examples=model.corpus_count,epochs=model.iter)
```
`model.wv.get_embedding_layer().get_weights()`  should give me the embeddings but its returning an empty array.
` Is model.wv.syn0` a way to retrieve the weights and initialize in the embedding layer in keras ?


Also please say whether this is the correct way to train the model.",1
1,https://github.com/RaRe-Technologies/gensim/issues/1566,1566,[],closed,2017-09-05 06:24:27+00:00,8,LDA multicore using high amount of system cpu. upto 30 million kernel context per second,"48 core, 256 GB machine. no iops recorded.
also checked with strace a very large number of sched_yield() = 0",1
2,https://github.com/RaRe-Technologies/gensim/issues/1575,1575,"[{'id': 175641, 'node_id': 'MDU6TGFiZWwxNzU2NDE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/bug', 'name': 'bug', 'color': 'e10c02', 'default': True, 'description': 'Issue described a bug'}, {'id': 233081, 'node_id': 'MDU6TGFiZWwyMzMwODE=', 'url': 'https://api.github.com/repos/RaRe-Technologies/gensim/labels/difficulty%20easy', 'name': 'difficulty easy', 'color': '00ff00', 'default': False, 'description': 'Easy issue: required small fix'}]",closed,2017-09-07 23:15:52+00:00,0,Add preprocessing in summarize function to remove newlines in the middle of sentences,"#### Description
The `summarize` function depends on the text having at least 10 sentences as measured by `clean_text_by_sentences`.  If the text is shorter than that then the summarization fails in an undocumented way. Moreover  `clean_text_by_sentences` cannot handle properly a text with new lines
at the middle of a sentence. I suggest a preprocessing step to purge those.

I'm currently using this to workaround this bug
```
import re
text = re.sub(r'\n|\r|\t', ' ', text)
text = re.sub(r'\s+', ' ', text)
```

#### Versions
- Python 3.6.2 (default, Jul 17 2017, 16:44:45)
[GCC 4.2.1 Compatible Apple LLVM 8.1.0 (clang-802.0.42)]
- NumPy 1.13.0
- SciPy 0.19.1
- gensim 2.3.0
- FAST_VERSION 0",1
