,html_url,number,labels,state,created_at,comments,title,body,rel
2,https://github.com/nltk/nltk/issues/1250,1250,[],closed,2016-01-13 10:30:10+00:00,4,Tokenization error,"There is an error of processing dots in the tokenizer:
The following code

```
    val ptbt = new PTBTokenizer(
      new StringReader(""Tokenization is performed.Parameters can be specified.""),
      new CoreLabelTokenFactory(), """")
    while (ptbt.hasNext()) {
      val label = ptbt.next()
      val w = label.originalText()
      println(w)
    }
```

gives ""performed.Parameters"" as an word. If I put a space after 'performed' it will work, but still, natural text can be messy and omitting spaces after punctuation is very common.
",2
129,https://github.com/nltk/nltk/issues/1482,1482,[],closed,2016-10-17 10:05:18+00:00,1,Text tilling,"Can I use text tilling for searching boundaries of sentences among continuous text without punctuation? What is then supposed to be a paragraph?
",2
552,https://github.com/nltk/nltk/issues/2222,2222,[],open,2019-01-31 00:54:48+00:00,0,TweetTokenizer and punctuation inside URLs,"The twitter tokenizer exhibits (what I think is) undesirable behavior when tokenizing URLs. For example:
```
tok.tokenize('http://t.co/LYsklSmIVS “http://t.co/LYsklSmIVS” “http://t.co/LYsklSmIVS”xxx')
```
yields
```
['http://t.co/LYsklSmIVS',  '“',  'http://t.co/LYsklSmIVS',  '”',  '“',  'http://t.co/LYsklSmIVS”xxx']
```
where
```
['http://t.co/LYsklSmIVS',  '“',  'http://t.co/LYsklSmIVS',  '”',  '“',  'http://t.co/LYsklSmIVS',  '”',  'xxx']```
is what I would prefer.

The issue is that the regular expression used to tokenize URLs looks for the longest substring that could be an URL, and technically most punctuation marks can occur inside an URL. The regex does make an exception for a single punctuation mark at the end of an URL before a word break, but that doesn't help if there's a space missing before the next token.

The current URL matcher is, in my opinion, too greedy for working with casual online texts.  While it's legally possible for an URL to have a character like `”` in the middle of it, it's much more likely that `”` ought to be split off as a separate token.

In a way, parsing URLs in tweets should be trivial (because they all take the form `http://t.co/...`) and there's no real need for any fancy URL-matching regex.  But, on the other hand, twitter might change their URL format at any time and people might be using this tagger for parsing texts from other sites, so we don't want to make too many assumptions.

Any thoughts about the best way to handle this?  ",2
604,https://github.com/nltk/nltk/issues/2303,2303,"[{'id': 14019200, 'node_id': 'MDU6TGFiZWwxNDAxOTIwMA==', 'url': 'https://api.github.com/repos/nltk/nltk/labels/good%20first%20issue', 'name': 'good first issue', 'color': '02e10c', 'default': True, 'description': ''}, {'id': 145489207, 'node_id': 'MDU6TGFiZWwxNDU0ODkyMDc=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/bug', 'name': 'bug', 'color': 'e11d21', 'default': True, 'description': None}, {'id': 718735032, 'node_id': 'MDU6TGFiZWw3MTg3MzUwMzI=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/tokenizer', 'name': 'tokenizer', 'color': '4be5a0', 'default': False, 'description': None}]",closed,2019-05-21 13:51:29+00:00,1,TreebankWordTokenizer [BUG],"Looks like there's a broken regexp on Treebank's `PUNCTUATION` patterns:

```
([^\.])(\.)([\]\)}>""\']*)\s*$
```
should `""` be escaped?
",2
666,https://github.com/nltk/nltk/issues/2431,2431,"[{'id': 1350810881, 'node_id': 'MDU6TGFiZWwxMzUwODEwODgx', 'url': 'https://api.github.com/repos/nltk/nltk/labels/invalid', 'name': 'invalid', 'color': 'cecece', 'default': True, 'description': ''}]",closed,2019-10-18 10:22:29+00:00,0,punctuation of plain text,I have plain text in lower case German language without any stop or comma or any punctuation. How to get back the punctuation and stop of sentences? to get the text into sentence structure. I tried but unsuccessful. Please guide. ,2
13,https://github.com/nltk/nltk/issues/1267,1267,[],closed,2016-01-24 17:32:54+00:00,4,RegexpTokenizer does not handle capturing parens as advertised,"The docstring for `nltk.tokenize.regexp.RegexpTokenizer` states:

```
:param pattern: The pattern used to build this tokenizer.
        (This pattern may safely contain capturing parentheses.)
```

But this does not seem to be the case:

``` python
import nltk
nltk.regexp_tokenize(""foo bar baz-qux"", r""\w+(-\w+)*"")
# returns ['', '', '-qux']
```

Contrast with:

``` python
nltk.regexp_tokenize(""foo bar baz-qux"", r""\w+(?:-\w+)*"")
# returns ['foo', 'bar', 'baz-qux']
```

Tested both with PyPI release (`nltk-3.1`) and current `develop` branch.
",1
81,https://github.com/nltk/nltk/issues/1391,1391,[],closed,2016-05-04 03:32:35+00:00,4,Installed nltk with brew on OSX El Capitan and 'word_tokenize' is not found,"I just went through the example on the main page (http://www.nltk.org/).  What am I missing in terms of dependencies?

```
iMe2 nltk $ python nltk.py 
Traceback (most recent call last):
  File ""nltk.py"", line 1, in <module>
    import nltk
  File ""/Users/iMe2/projects/nltk/nltk.py"", line 3, in <module>
    tokens = nltk.word_tokenize(sentence)
AttributeError: 'module' object has no attribute 'word_tokenize'
iMe2 nltk $ 
```

Thanks!
",1
106,https://github.com/nltk/nltk/issues/1434,1434,[],closed,2016-07-13 11:22:12+00:00,1,"word_tokenize doesn't tokenize ""»""","Hi all,
we tried to use nltk for the part-of-speech tagging of german texts and in some of them the french quotation marks ""»"" and ""«"" are used for quotation instead of "" "" "", the normal (or standard) quotation mark.

As an example consider the following sentence:

»Now that I can do.«

This is tokenized:
nltk.word_tokenize(""»Now that I can do.«"")

and yields:

['»Now', 'that', 'I', 'can', 'do.«']

instead of:

['»' , 'Now', 'that', 'I', 'can', 'do', '.', '«']

Can this be fixed?

Best regards.

Edit: Minor fix.
",1
124,https://github.com/nltk/nltk/issues/1472,1472,[],closed,2016-09-20 09:56:50+00:00,2,The sent tokenizer deletes end of line characters,"I am not sure whether this is a feature/bug, but the standard nltk.sent_tokenize() deletes characters from the text. 

For instance:

```
s
'In the beginning, God created the heavens and the earth. And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.'
from nltk import sent_tokenize
sents = sent_tokenize(s)
sents
['In the beginning, God created the heavens and the earth.',
 'And the earth was without form, and void; and darkness was upon the face of the deep.',
 'And the Spirit of God moved upon the face of the waters.']
len(''.join(sents))
197
len(s)
199
```

Is there a way to make sure the tokenizer does not delete characters?
",1
152,https://github.com/nltk/nltk/issues/1523,1523,"[{'id': 14019255, 'node_id': 'MDU6TGFiZWwxNDAxOTI1NQ==', 'url': 'https://api.github.com/repos/nltk/nltk/labels/pleaseverify', 'name': 'pleaseverify', 'color': 'd7e102', 'default': False, 'description': None}, {'id': 159235791, 'node_id': 'MDU6TGFiZWwxNTkyMzU3OTE=', 'url': 'https://api.github.com/repos/nltk/nltk/labels/dependency%20parsing', 'name': 'dependency parsing', 'color': 'eb6420', 'default': False, 'description': None}]",closed,2016-11-24 09:28:36+00:00,2,whitespace in corenlp_options in nltk.parse.stanford causes OSError,"I needed to keep punctuation, so I added corenlp_options='-ouputFormatOptions includePunctuationDependencies' when creating an instance of a dependency parser.

Because corenlp_options is appended to cmd, the Popen fails.  Changing `cmd.append(self.corenlp_options)` to `cmd.extend(self.corenlp_options.split())` would fix the issue.

Edit:
The Neural Dependency Parser has a default corelnp_options that contains whitespace, and it works fine.  note that because it uses += to extend, that there is no whitespace inserted between user-defined options and default options.  

I don't know why NDP runs fine with whitespace in corenlp_options and StanfordDependencyParser does not.",1
