,html_url,number,labels,state,created_at,comments,title,body,rel
80,https://github.com/explosion/spaCy/issues/2892,2892,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}, {'id': 560441651, 'node_id': 'MDU6TGFiZWw1NjA0NDE2NTE=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/models', 'name': 'models', 'color': '726DA8', 'default': False, 'description': 'Issues related to the statistical models'}]",closed,2018-11-01 05:19:56+00:00,2,Deploying to Azure Web Service fails with: en_core_web_sm,"## How to reproduce the problem
Follow this link: https://docs.microsoft.com/en-us/azure/app-service/containers/quickstart-python and using own python code as application.py containing this line: nlp_date = spacy.load('en_core_web_sm') 
Although it works locally in my computer (http://localhost:5000/), it fails when deployed to Azure with the following error:
OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.

Similar error occurs when executing pip freeze > requirements.txt, since the line -> en-core-web-sm==2.0.0 appears in the list and app cannot be deployed:
remote: Collecting en-core-web-sm==1.6.0 (from -r requirements.txt (line 136))        
remote:   Could not find a version that satisfies the requirement en-core-web-sm==1.6.0 (from -r requirements.txt (line 136)) (from versions: )        
remote: No matching distribution found for en-core-web-sm==1.6.0 (from -r requirements.txt (line 136))
      
```bash
OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.
```

## Your Environment
<!-- Include details of your environment. If you're using spaCy 1.7+, you can also type `python -m spacy info --markdown` and copy-paste the result here.-->
## Info about spaCy
* **spaCy version:** 2.0.16
* **Platform:** Windows-10-10.0.17763-SP0
* **Python version:** 3.7.1
* **Models:** en

[en_core_web_sm_IssueAzureAppServLog.txt](https://github.com/explosion/spaCy/files/2537281/en_core_web_sm_IssueAzureAppServLog.txt)
",2
300,https://github.com/explosion/spaCy/issues/3226,3226,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}, {'id': 446637424, 'node_id': 'MDU6TGFiZWw0NDY2Mzc0MjQ=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/conda', 'name': 'conda', 'color': '676F6D', 'default': False, 'description': 'conda package manager'}, {'id': 560441651, 'node_id': 'MDU6TGFiZWw1NjA0NDE2NTE=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/models', 'name': 'models', 'color': '726DA8', 'default': False, 'description': 'Issues related to the statistical models'}, {'id': 621625469, 'node_id': 'MDU6TGFiZWw2MjE2MjU0Njk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/third-party', 'name': 'third-party', 'color': 'f6f6f6', 'default': False, 'description': 'Third-party packages and services'}]",closed,2019-02-04 05:04:45+00:00,8,Unable to install spacy-en_core_web_sm with Conda,"<!-- Before submitting an issue, make sure to check the docs and closed issues to see if any of the solutions work for you. Installation problems can often be related to Python environment issues and problems with compilation. -->

## How to reproduce the problem
<!-- Include the details of how the problem occurred. Which command did you run to install spaCy? Did you come across an error? What else did you try? -->

I did a conda install of Spacy, but I'm unable to install this package:
spacy-en_core_web_sm

The instructions on anaconda.org don't work. I'd like to use the package in Jupyter Notebooks which I'm running from Anaconda.

Command:

$ conda install -c danielfrg spacy-en_core_web_sm

```bash
Error:

Solving environment: failed

PackagesNotFoundError: The following packages are not available from current channels:

  - spacy-en_core_web_sm

Current channels:

  - https://conda.anaconda.org/danielfrg/osx-64
  - https://conda.anaconda.org/danielfrg/noarch
  - https://repo.anaconda.com/pkgs/main/osx-64
  - https://repo.anaconda.com/pkgs/main/noarch
  - https://repo.anaconda.com/pkgs/free/osx-64
  - https://repo.anaconda.com/pkgs/free/noarch
  - https://repo.anaconda.com/pkgs/r/osx-64
  - https://repo.anaconda.com/pkgs/r/noarch
```

## Your Environment
<!-- Include details of your environment. If you're using spaCy 1.7+, you can also type `python -m spacy info --markdown` and copy-paste the result here.-->
* Operating System: macOS Mojave
* Python Version Used: 3 
* spaCy Version Used:
* Environment Information: Anaconda
",2
684,https://github.com/explosion/spaCy/issues/3777,3777,[],closed,2019-05-26 02:52:02+00:00,2,spaCy download command fails to install en_core_web_sm in conda environment,"<!-- Before submitting an issue, make sure to check the docs and closed issues to see if any of the solutions work for you. Installation problems can often be related to Python environment issues and problems with compilation. -->

## How to reproduce the problem
<!-- Include the details of how the problem occurred. Which command did you run to install spaCy? Did you come across an error? What else did you try? -->
I created a conda environment with spaCy using the command:

>conda create -n fever spacy

This successfully created a conda environment with spaCy version 2.0.16.

I then used the standard spaCy download command:

>python -m spacy download en_core_web_sm

The model seems to download succesfully, but I get an an EnvironmentError message.


```bash
ERROR: Error [WinError 87] The parameter is incorrect while executing command python setup.py egg_info
ERROR: Could not install packages due to an EnvironmentError: [WinError 87] The parameter is incorrect
```



## Your Environment
<!-- Include details of your environment. If you're using spaCy 1.7+, you can also type `python -m spacy info --markdown` and copy-paste the result here.-->
## Info about spaCy

* **spaCy version:** 2.0.16
* **Platform:** Windows-10-10.0.18362-SP0
* **Python version:** 3.7.3
",2
709,https://github.com/explosion/spaCy/issues/3816,3816,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}, {'id': 925719279, 'node_id': 'MDU6TGFiZWw5MjU3MTkyNzk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/more-info-needed', 'name': 'more-info-needed', 'color': 'f6f6f6', 'default': False, 'description': 'This issue needs more information'}, {'id': 1280480835, 'node_id': 'MDU6TGFiZWwxMjgwNDgwODM1', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/upgrade', 'name': 'upgrade', 'color': 'B35905', 'default': False, 'description': 'Issues related to upgrading spaCy'}]",closed,2019-06-03 15:13:44+00:00,3,en_core_web_sm Installation Issue,"Hi,

I am facing an issue with the en_core_web_Sm installation. I had spacy running before with 2.0.12 version with this library. However, to get access to more functionality I updated the spacy library and then faced issues with respect to reinstalling en_core_Web_sm language package. Now I am getting errors like 'No module named spacy.tokens' while doing python -m spacy download en_core_web_sm. I have faced this kind of error before too while installing or updating the library. Even downgrading is not helping. 

Please let me know what should be the steps
* Operating System: Windows 10
* Python Version Used: 3.6.7
* spaCy Version Used: 2.1.4
* Environment Information: virtual as well as local. Also trying to install using conda
",2
1183,https://github.com/explosion/spaCy/issues/4577,4577,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}, {'id': 560441651, 'node_id': 'MDU6TGFiZWw1NjA0NDE2NTE=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/models', 'name': 'models', 'color': '726DA8', 'default': False, 'description': 'Issues related to the statistical models'}, {'id': 1174487963, 'node_id': 'MDU6TGFiZWwxMTc0NDg3OTYz', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/jupyter', 'name': 'jupyter', 'color': '676F6D', 'default': False, 'description': 'Issues related to Jupyter notebook environments'}]",closed,2019-11-02 14:44:38+00:00,7,"OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.","I have installed `spacy` and downloaded `en_core_web_sm` with:
```
pip3 install spacy
python3 -m spacy download en_core_web_sm
```

When running codes on Python3 default IDLE, it runs successfully:
```
import spacy
spacy.load(""en_core_web_sm"")
```

However, when I run above codes in **jupyter notebook**, it shows error:
```
OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.
```

I tried several ways in `Jupyter notebook` like
```
!python3 -m spacy download en_core_web_sm
```
but it still shows the error. 

OS: MacOS

Could somebody help me fix this issue? Thanks in advance!

",2
1297,https://github.com/explosion/spaCy/issues/4756,4756,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}]",closed,2019-12-03 17:46:58+00:00,4,"OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.","I have installed spacy and downloaded en_core_web_sm with:
```
pip3 install spacy
python3 -m spacy download en_core_web_sm
```
When I try to run the en_core_web_sm module in Python IDE with:
```
import spacy
nlp = spacy.load(""en_core_web_sm"")
```
it shows an error message:

```
 File ""/home/disha/Desktop/project/python/parser/venv/lib/python3.6/site-packages/spacy/__init__.py"", line 30, in load
    return util.load_model(name, **overrides)
  File ""/home/disha/Desktop/project/python/parser/venv/lib/python3.6/site-packages/spacy/util.py"", line 169, in load_model
    raise IOError(Errors.E050.format(name=name))
OSError: [E050] Can't find model 'en'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.
```
I have tried every possible solution which was suggested on GitHub and Stack Overflow but nothing worked

* Operating System: Ubuntu
* Python Version Used: 3.6
* spaCy Version Used: 2.2.3

Can somebody help me fix this issue? Thanks in advance!

",2
1399,https://github.com/explosion/spaCy/issues/4915,4915,[],closed,2020-01-15 15:40:42+00:00,2,"OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.","I've gone through the troubleshooting steps in previous issues (like #4756 and #4577), but have been unable to resolve the error. 

I'm attempting to import and use version 2.2.3, which seems to be installed. Meaning, I installed it and previously everything worked fine. I haven't made any changes to my machine, just started a new script. and attempted to use:

```
import spacy
from spacy.lang.en.stop_words import STOP_WORDS
from spacy.lang.en import English
parser = English()
import en_core_web_sm
nlp = spacy.load(""en_core_web_sm"")
```


which yields


```bash
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/usr/local/lib/python3.7/site-packages/spacy/__init__.py"", line 30, in load
    return util.load_model(name, **overrides)
  File ""/usr/local/lib/python3.7/site-packages/spacy/util.py"", line 169, in load_model
    raise IOError(Errors.E050.format(name=name))
OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.
```



## Your Environment
* **spaCy version:** 2.2.3
* **Platform:** Darwin-18.7.0-x86_64-i386-64bit
* **Python version:** 3.7.3
Mac OS

I've also tried the following:


```
import spacy
from spacy.lang.en.stop_words import STOP_WORDS
from spacy.lang.en import English
parser = English()
from spacy.lang.en import en_core_web_sm
```


Which yields: 


```
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
ImportError: cannot import name 'en_core_web_sm' from 'spacy.lang.en' (/usr/local/lib/python3.7/site-packages/spacy/lang/en/__init__.py)
>>> nlp = spacy.load(""en_core_web_sm"")
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/usr/local/lib/python3.7/site-packages/spacy/__init__.py"", line 30, in load
    return util.load_model(name, **overrides)
  File ""/usr/local/lib/python3.7/site-packages/spacy/util.py"", line 169, in load_model
    raise IOError(Errors.E050.format(name=name))
OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.
```


If I run each line separately, the errors I get are:
```
>>> from spacy.lang.en import en_core_web_sm
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
ImportError: cannot import name 'en_core_web_sm' from 'spacy.lang.en' (/usr/local/lib/python3.7/site-packages/spacy/lang/en/__init__.py)
>>> nlp = spacy.load(""en_core_web_sm"")
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/usr/local/lib/python3.7/site-packages/spacy/__init__.py"", line 30, in load
    return util.load_model(name, **overrides)
  File ""/usr/local/lib/python3.7/site-packages/spacy/util.py"", line 169, in load_model
    raise IOError(Errors.E050.format(name=name))
OSError: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.
```",2
1566,https://github.com/explosion/spaCy/issues/5260,5260,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}, {'id': 925719279, 'node_id': 'MDU6TGFiZWw5MjU3MTkyNzk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/more-info-needed', 'name': 'more-info-needed', 'color': 'f6f6f6', 'default': False, 'description': 'This issue needs more information'}]",closed,2020-04-06 08:53:02+00:00,14,Cannot download models (like en_core_web_sm),"## Internet connection is good but cannot download
I am in Mongolia and cannot download any of the models from command line using:
```
python -m spacy download en_core_web_sm
```
and error follows:
```
Collecting en_core_web_sm==2.2.5
  Downloading https://github.com/explosion/spacy-models/releases/download/en_core_web_sm-2.2.5/en_core_web_sm-2.2.5.tar.gz (12.0MB)
ERROR: Exception:
Traceback (most recent call last):
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_vendor/urllib3/response.py"", line 425, in _error_catcher
    yield
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_vendor/urllib3/response.py"", line 507, in read
    data = self._fp.read(amt) if not fp_closed else b""""
  File ""/usr/local/Cellar/python/3.7.4_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py"", line 457, in read
    n = self.readinto(b)
  File ""/usr/local/Cellar/python/3.7.4_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py"", line 501, in readinto
    n = self.fp.readinto(b)
  File ""/usr/local/Cellar/python/3.7.4_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py"", line 589, in readinto
    return self._sock.recv_into(b)
  File ""/usr/local/Cellar/python/3.7.4_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py"", line 1071, in recv_into
    return self.read(nbytes, buffer)
  File ""/usr/local/Cellar/python/3.7.4_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py"", line 929, in read
    return self._sslobj.read(len, buffer)
socket.timeout: The read operation timed out

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/cli/base_command.py"", line 153, in _main
    status = self.run(options, args)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/commands/install.py"", line 382, in run
    resolver.resolve(requirement_set)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/legacy_resolve.py"", line 201, in resolve
    self._resolve_one(requirement_set, req)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/legacy_resolve.py"", line 365, in _resolve_one
    abstract_dist = self._get_abstract_dist_for(req_to_install)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/legacy_resolve.py"", line 313, in _get_abstract_dist_for
    req, self.session, self.finder, self.require_hashes
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/operations/prepare.py"", line 194, in prepare_linked_requirement
    progress_bar=self.progress_bar
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/download.py"", line 465, in unpack_url
    progress_bar=progress_bar
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/download.py"", line 316, in unpack_http_url
    progress_bar)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/download.py"", line 551, in _download_http_url
    _download_url(resp, link, content_file, hashes, progress_bar)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/download.py"", line 255, in _download_url
    consume(downloaded_chunks)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/utils/misc.py"", line 641, in consume
    deque(iterator, maxlen=0)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/download.py"", line 223, in written_chunks
    for chunk in chunks:
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/utils/ui.py"", line 160, in iter
    for x in it:
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_internal/download.py"", line 212, in resp_read
    decode_content=False):
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_vendor/urllib3/response.py"", line 564, in stream
    data = self.read(amt=amt, decode_content=decode_content)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_vendor/urllib3/response.py"", line 529, in read
    raise IncompleteRead(self._fp_bytes_read, self.length_remaining)
  File ""/usr/local/Cellar/python/3.7.4_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py"", line 130, in __exit__
    self.gen.throw(type, value, traceback)
  File ""/Users/bayartsogtyadamsuren/DDAM-Projects/isid/myenv/lib/python3.7/site-packages/pip/_vendor/urllib3/response.py"", line 430, in _error_catcher
    raise ReadTimeoutError(self._pool, None, ""Read timed out."")
pip._vendor.urllib3.exceptions.ReadTimeoutError: HTTPSConnectionPool(host='github-production-release-asset-2e65be.s3.amazonaws.com', port=443): Read timed out.
```

and it is same using browser  https://github.com/explosion/spacy-models/releases/tag/en_core_web_sm-2.2.5

I checked my internet connection and other stuff working well. So I thought it is not because of my machine.

There are other closed issues similar to this one but none of them actually solved in terms of internet connection error.

How can I fix this?

## My Environment
```
* Operating System: MacOS
* Python Version Used: 3.7.4
* spaCy Version Used: 2.2.4
* Environment Information: pip virtualenv
```

**[update]** I also tried it in other environments but no difference:
Tried a new machine with:
``` 
* Operating System: Ubuntu 16.04.6 LTS
* Python Version Used: 3.6.9
* spaCy Version Used: 2.2.4
* Environment Information: pip virtualenv
```

- [x] I tried the whole new environment but still getting the same error
- [x] --time-out addition in command line also did not work
- [x] used different machine but did not work too",2
1605,https://github.com/explosion/spaCy/issues/5327,5327,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}, {'id': 925719279, 'node_id': 'MDU6TGFiZWw5MjU3MTkyNzk=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/more-info-needed', 'name': 'more-info-needed', 'color': 'f6f6f6', 'default': False, 'description': 'This issue needs more information'}]",closed,2020-04-19 17:22:02+00:00,2,"Can't find model 'en_core_web_sm'. It doesn't seem to be a shortcut link, a Python package or a valid path to a data directory.","## How to reproduce the behaviour

nlp = spacy.load(""en_core_web_sm"")

Works with Python 3.6 but not with Python 3.8 

## Your Environment
* Operating System: Darwin 
* Python Version Used: 3.6 / 3.8
* spaCy Version Used:  2.2.4
* Environment Information: None
",2
1759,https://github.com/explosion/spaCy/issues/5713,5713,"[{'id': 446604395, 'node_id': 'MDU6TGFiZWw0NDY2MDQzOTU=', 'url': 'https://api.github.com/repos/explosion/spaCy/labels/install', 'name': 'install', 'color': 'B35905', 'default': False, 'description': 'Installation issues'}]",closed,2020-07-05 22:07:57+00:00,4,Probelm in installing en_core_web_sm on Heroku,"I am having a problem in importing en_core_web_sm on Heroku, while the code works fine on the local machine it is not able to do so on the Heroku server.

```
import spacy
from spacy import displacy
import en_core_web_sm
from spacy import load

nlp = en_core_web_sm.load() # I am trying to use like this instead of spacy.load('en_core_web_sm')

```
I am installing the en_core_web_sm using URL, requirements.txt:

```
spacy==2.3.0
https://github.com/explosion/spacy-models/releases/download/en_core_web_sm-2.3.0/en_core_web_sm-2.3.0.tar.gz


```
I have also tried putting link as 

`en-core-web-sm @ https://github.com/explosion/spacy-models/releases/download/en_core_web_sm-2.3.0/en_core_web_sm-2.3.0.tar.gz
`
I have also tried using spacy.load('') but it also does not works.

I am using heroku free tier services.

I have referenced these links #1099 #308 but was unable to solve my problem.
local machine:
* **spaCy version:** 2.3.0
* **Platform:** Linux-4.15.0-106-generic-x86_64-with-Ubuntu-18.04-bionic
* **Python version:** 3.6.9


heroku 
* **spaCy version:** 2.3.0
* **Platform:** Linux-4.4.0-1073-aws-x86_64-with-debian-buster-sid
* **Python version:** 3.6.10


",2
