Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"68862752","1","","","2021-08-20 13:07:18","","0","25","<p>I am new to the AllenNLP library. I am using the Pretrained Bidaf-elmo model for a reading comprehension task. My code looks like -</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>from allennlp.predictors.predictor import Predictor
import allennlp_models.rc
from allennlp_models import pretrained
from allennlp.training.util import evaluate
import allennlp.data.data_loaders.simple_data_loader

archive_file_path = ""https://storage.googleapis.com/allennlp-public-models/bidaf-model-2020.03.19.tar.gz""
input_path = ""C:\\Users\\SHRIPRIYA\\sample_dataset.json""

data_load = simple_data_loader(input_path)
evaluate(model=archive_file_path, data_loader = data_load, output_file=output, predictions_output_file=pred_output_file, cuda_device=0)</code></pre>
</div>
</div>
</p>
<p>The line <code>simple_data_loader()</code> throws an error - <code>name 'simple_data_loader' is not defined</code>. I know this is a syntax error but I could not find any examples to load a JSON file using a Data Loader function from AllenNLP and evaluate it using a pre-trained model.</p>
<p>About my data:</p>
<ol>
<li>total sample passages = 10,000</li>
<li>total questions = 1000</li>
</ol>
<p>Each sample passage needs to be subjected to all the 1000 questions. My sample JSON input looks like -</p>
<pre><code>{
  &quot;passage&quot;: &quot;Venus is named after the Roman goddess of love and beauty. Venus is the second planet from the sun. Is the brightest object in the sky besides our Sun and the Moon. Venus has no moons. It is also known as the morning star because at sunrise it appears in the east. It is also known as the evening star as it appears at sunset when it is in the west. It cannot be seen in the middle of the night. Venus and Earth are close together in space and similar in size, which is the reason Venus is called Earth's sister planet. Venus has more volcanoes than any other planet. It is the hottest planet in the solar system, even hotter than Mercury, which is closer to the Sun. The temperature on the surface of Venus is about 460° Celsius. The atmosphere on Venus is composed of carbon dioxide. The surface is heated by radiation from the sun, but the heat cannot escape through the clouds and layer of carbon dioxide. (This is a “greenhouse effect”).&quot;,
  &quot;questions&quot;: [
    &quot;How many moons does Venus have?&quot;,
    &quot;Venus was named after which Roman goddess?&quot;,    
    &quot;At what position does Venus lie from Sun?&quot;,
    &quot;What is the temperature of Venus surface?&quot;,
    &quot;Why is Venus called Earth’s sister planet?&quot;,
    &quot;What is the atmosphere of Venus composed of?&quot;
  ]}
</code></pre>
<p>If there's any faster alternative to evaluate multiple questions against multiple passages, please let me know.</p>
<p>Thanks!</p>
","16713798","","","","","2021-08-23 22:38:26","How to write evaluate function for a pretrained model and specify a dataloader?","<machine-learning><allennlp>","1","0","","","","CC BY-SA 4.0"
"69090025","1","","","2021-09-07 14:26:58","","0","46","<p>I have been reading through the AllenNLP guide and documentation and was hoping to train an SRL Bert model on French.</p>
<p>On the SRL demo page you have the command for training a SRL Bert model as seen below:</p>
<pre><code>allennlp train \
        https://raw.githubusercontent.com/allenai/allennlp-models/main/training_config/structured_prediction/bert_base_srl.jsonnet \
        -s /path/to/output
</code></pre>
<p>Looking into that jsonnet file AllenNLP points out that they use the CONLL formatted Ontonotes 5.0 data. Since, as AllenNLP mentions, this data is not publicly available I went searching for what the format of this data looked like. Which lead me <a href=""https://github.com/ontonotes/conll-formatted-ontonotes-5.0/blob/master/conll-formatted-ontonotes-5.0/data/train/data/english/annotations/bc/cctv/00/cctv_0001.gold_skel"" rel=""nofollow noreferrer"">here</a>.</p>
<p>Not fully understanding the format at that link I found this <a href=""https://github.com/allenai/allennlp/blob/e5a74abccb969efe33001e20b8c749780d8f657e/allennlp/data/dataset_readers/dataset_utils/ontonotes.py#L83"" rel=""nofollow noreferrer"">description</a> in AllenNLP's code for their Ontonotes class which was extremely helpful.</p>
<p>In light of all the details above I have a couple questions:</p>
<ol>
<li><p>When setting the environment variables <code>SRL_TRAIN_DATA_PATH</code> and <code>SRL_VALIDATION_DATA_PATH</code> that are used in the jsonnet file does the directory structure need to look exactly like the structure described in the Ontonotes class code (seen below) or what is the bare minimum if I will only have one file for training?</p>
<pre><code>└── train
       └── data
           └── english
               └── annotations
                   ├── bc
                   ├── bn
                   ├── mz
                   ├── nw
                   ├── pt
                   ├── tc
                   └── wb
</code></pre>
</li>
<li><p>My second question, using whatever directory structure is necessary, will I be able to train a French model if I create a file just like the <a href=""https://github.com/ontonotes/conll-formatted-ontonotes-5.0/blob/master/conll-formatted-ontonotes-5.0/data/train/data/english/annotations/bc/cctv/00/cctv_0001.gold_skel"" rel=""nofollow noreferrer"">CONLL one</a> but all the words would be in French?</p>
</li>
<li><p>Third and finally if I can train a SRL Bert model using a CONLL file in the appropriate format are all of the columns in the CONLL file necessary to have data in. For example, Column 11 is the named entities, is it necessary to have named entities for training or can that column just be blank (i.e. nothing but hyphens). If it is the case that not all columns need data, which columns need to have data for training and which can be empty?</p>
</li>
</ol>
<p>I know it's a fair amount of questions so thank you in advance.</p>
","2759574","","","","","2021-09-18 00:36:56","How to train AllenNLP SRL on non-English languages?","<allennlp>","1","0","","","","CC BY-SA 4.0"
"68752423","1","","","2021-08-12 06:09:26","","0","14","<p>I've adapted the allennlp <a href=""https://github.com/allenai/allennlp-models/blob/4eb7c27d7fad00ac886ffdefc6c152909fa28f23/allennlp_models/coref/models/coref.py#L538"" rel=""nofollow noreferrer"">coref model</a> into my project. One thing I wasn't sure of was how to ensure that the label tensors are either a cluster index if the input span represents a valid mention, or -1 (otherwise the model doesn't correctly mask out the invalid spans).</p>
<p>I created a dataset reader that assigns a label field for each span. I used a dummy label for spans that aren't valid mentions (i.e. &quot;O&quot;). The issue is the token indexer assigns an arbitrary index to &quot;O&quot;. It just happens that it's normally zero, it's certainly never -1. I worked around this by adding code in the coref module to mask out the dummy labels.</p>
<pre><code>    self.invalid_span_index = self.vocab.get_token_index(invalid_span_label, label_namespace)

    if span_labels is not None:
        valid_span_labels_mask = span_labels != self.invalid_span_index 
        span_labels = util.replace_masked_values(
            span_labels, valid_span_labels_mask, -1
        )
</code></pre>
<p>This works ok, but it should really be done by the token indexer or earlier, so I guess my question is how do you ensure that the token indexer produces specific indexes for certain special labels? Particularly in this case where the model has a requirement that the index is -1</p>
<p>Perhaps I should use <code>skip_indexing=True</code> in the dataloader and index the clusters myself. The issue I have with this approach is I'm using a <code>MultiTaskDataLoader</code>. It should work for now as I'm using <code>HomogeneousRoundRobinScheduler</code> so the model shouldn't see spans from more than one document at a time so at this stage at least I can probably get away with not using a vocabulary. But it doesn't feel like the proper way to do this?</p>
","2981639","","","","","2021-08-12 06:09:26","How to specify -1 label index for allennlp coref model","<allennlp>","0","8","","","","CC BY-SA 4.0"
"69175524","1","","","2021-09-14 09:45:34","","1","25","<p>I've been looking to train my own ELMo model for the past week and came across these two implementations <a href=""https://github.com/allenai/bilm-tf"" rel=""nofollow noreferrer"">allenai/bilm-tf</a> &amp; <a href=""https://github.com/allenai/allennlp"" rel=""nofollow noreferrer"">allenai/allennlp</a>. I've been facing a few roadblocks for a few techniques I've tried and would like to clarify my findings, so that I can get a clearer direction.</p>
<p>As my project revolves around healthcare, I would like to train the embeddings from scratch for better results. The dataset I am working on is MIMIC-III and the entire dataset is stored in one .csv, unlike 1 Billion Word Language Model Benchmark (data used in tutorials) where files are stored in separate .txt files.</p>
<p>I was following this &quot;Using ELMo as a PyTorch Module to train a new model&quot; <a href=""https://github.com/allenai/allennlp/blob/v0.8.3/tutorials/how_to/elmo.md#using-elmo-as-a-pytorch-module-to-train-a-new-model"" rel=""nofollow noreferrer"">tutorial</a> but I figured out that one of the requirements is a .hdf5 weights_file.</p>
<p><strong>(Question)</strong> Does this mean that I will have to train a bilm model first to get .hdf5 weights to input? Can I train an ELMo model from scratch using allennlp.modules.elmo.Elmo? Is there any other way where I can train a model this way with an empty .hdf5 as I was able to run this successfully with tutorial data.</p>
<p><strong>(Question)</strong> What will be the best method for me to train my embeddings? (PS: some methods I've tried are documented below). In my case where I will probably need a custom DatasetReader, rather than converting the csv to txt files, wasting memory.</p>
<hr />
<p>Here, let me go into the details of other methods I have tried so far. Serves as a backstory to the main question of what may be the best technique. Please let me know if you know of any other methods to train my own ELMo model, or if one of the following methods are preferred over the others.</p>
<p>I've tried training a model using the <code>allennlp train ...</code> command by following <a href=""https://towardsdatascience.com/pytorch-elmo-844d2391a0b2#b484"" rel=""nofollow noreferrer"">this tutorial</a>. However, I was unable to run with tutorial data due to the following error which I am still unable to solve.</p>
<pre><code>allennlp.common.checks.ConfigurationError: Experiment specified GPU device 1 but there are only 1 devices  available.
</code></pre>
<p>Secondly, this is a technique that I found but have not tried. Similar to the technique above it uses the <code>allennlp train ...</code> command but instead I use <a href=""https://github.com/allenai/allennlp-template-config-files"" rel=""nofollow noreferrer"">allenai/allennlp-template-config-files</a> as a template and modify the Model and DatasetReader.</p>
<p>Lastly, I tried using the TensorFlow implementation <a href=""https://github.com/allenai/bilm-tf"" rel=""nofollow noreferrer"">allenai/bilm-tf</a> following tutorials like <a href=""https://appliedmachinelearning.blog/2019/11/30/training-elmo-from-scratch-on-custom-data-set-for-generating-embeddings-tensorflow/"" rel=""nofollow noreferrer"">this</a>. However, I would like to avoid this method as TF1 is quite outdated. Besides receiving tons of warnings, I faced an error for CUDA as well.</p>
<pre><code>2021-09-14 17:31:36.222624: E tensorflow/stream_executor/cuda/cuda_driver.cc:936] failed to allocate 18.45M (19346432 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
</code></pre>
","8769769","","4685471","","2021-09-14 10:01:53","2021-09-14 10:01:53","Can I train an ELMo model from scratch using allennlp.modules.elmo.Elmo?","<python><machine-learning><deep-learning><allennlp><elmo>","0","0","","","","CC BY-SA 4.0"
"69365546","1","69437913","","2021-09-28 16:42:10","","0","29","<h1>Background</h1>
<p>I am working on a project where I need to do coreference resolution on a lot of text. In doing so I've dipped my toe into the NLP world and found AllenNLP's coref model.</p>
<p>In general I have a script where I use pandas to load in a dataset of &quot;articles&quot; to be resolved and pass those articles to the <code>predictor.from_path()</code> object to be resolved. Because of the large number of articles that I want to resolve, I'm running this on a remote cluster(though I don't believe that is the source of this problem as this problem also occurs when I run the script locally). That is, my script looks something like this:</p>
<pre><code>from allennlp.predictors.predictor import Predictor
import allennlp_models.tagging
import pandas as pd

print(&quot;HERE TEST&quot;)

def predictorFunc(article):
     predictor = predictor.from_path(&quot;https://storage.googleapis.com/allennlp-public-models/coref-spanbert-large-2021.03.10.tar.gz&quot;)
     resolved_object = predictor(document=article)

     ### Some other interrogation of the predicted clusters ###
     return resolved_object['document']

df = pd.read_csv('articles.csv')
### Some pandas magic ###

resolved_text = predictorFunc(article_pre_resolved)
</code></pre>
<h1>The Problem</h1>
<p>When I execute the script the following message is printed to my .log file <em>before anything else</em> (for example the <code>print(&quot;HERE TEST&quot;)</code> that I included) -- even before the <code>predictor</code> object itself is called:</p>
<pre><code>Some weights of BertModel were not initialized from the model checkpoint at SpanBERT/spanbert-large-cased and are newly initialized: ['bert.pooler.dense.weight', 'bert.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
</code></pre>
<p>I understand that this message itself is to be expected as I'm using a pre-trained model, but when this message appears it completely locks up the .log file (nothing else gets printed until the script ends and everything gets printed at once). This has been deeply problematic for me as it makes it almost impossible to debug other parts of my script in a meaningful way. (It will also make tracking the final script's progress on a large dataset very difficult... :'( ) Also, I would very much like to know why the predictor object appears to be loading even before it gets called.
Though I can't tell for sure, I also think that whatever is causing this is also causing runaway memory use (even for toy examples of just a single 'article' (a couple hundred words as a string)).</p>
<p>Has anyone else had this problem/know why this happens? Thanks very much in advance!</p>
","17027207","","","","","2021-10-04 14:41:29","AllenNLP predictor object loading before it is called -- rest of the script hangs","<python><slurm><allennlp><coreference-resolution>","1","2","","","","CC BY-SA 4.0"
"69416568","1","","","2021-10-02 11:41:42","","0","15","<p>I'm trying to implement a model similar to <a href=""https://aclanthology.org/N19-1289.pdf"" rel=""nofollow noreferrer"">https://aclanthology.org/N19-1289.pdf</a> using <code>allennlp</code></p>
<p>This consists of two parallel input modules, an embedding module that embeds the inputs and a parallel module that encodes the labels. MSE loss is used to encourage both to produce the same encoding.</p>
<p>Then the output from the label embedded is passed through an output module which recreates the original labels. I have this working, however, I believe that I'm not implementing validation correctly. For validation, the output from the input embedded should be passed through the decoder, not the output from the label encoder.</p>
<p>I'm not sure how to implement this in <code>allennlp</code> though, I need to detect if the model is being trained or validated in the forward method despite both receiving the same arguments (i.e. both x and y are provided).</p>
<p>My current code is</p>
<pre><code>    embedded = self._embedder(text)
    if labels is not None:
        encoded = self._encoder(labels)
        decoded = self._decoder(encoded)

        # compute loss / accuracy
        encoder_loss = MSE(embedded, encoded)
        reconstruction_loss = CDL(labels, decoded)
    else:
        decoded = self._decoder(embedded)
</code></pre>
<p>But what I want to do is</p>
<pre><code>    embedded = self._embedder(text)
    if labels is not None:
        encoded = self._encoder(labels)
        if training:
            decoded = self._decoder(encoded)
        else:
            decoded = self._decoder(embedded)

        # compute loss / accuracy
        encoder_loss = MSE(embedded, encoded)
        reconstruction_loss = CDL(labels, decoded)
    else:
        decoded = self._decoder(embedded)
</code></pre>
<p>How do I do this? How do I ensure that when the model is validated, but labels are supplied that the model doesn't pass the validation labels to the encoder (i.e. if this happens the validation isn't testing how well the embedded replicates the encoder)?</p>
","2981639","","2981639","","2021-10-02 22:31:04","2021-10-03 00:04:16","Correct validation of allennlp auto-encoder","<machine-learning><autoencoder><allennlp>","1","0","","","","CC BY-SA 4.0"
"60499791","1","60510837","","2020-03-03 03:46:55","","1","281","<p>Using <code>NLTK</code> Unigram Tagger, I am training sentences in <code>Brown Corpus</code></p>

<p>I try different <code>categories</code> and I get about the same value. The value is around <code>0.9328</code>... for each <code>categories</code> such as <code>fiction</code>, <code>romance</code> or <code>humor</code></p>

<pre><code>from nltk.corpus import brown


# Fiction    
brown_tagged_sents = brown.tagged_sents(categories='fiction')
brown_sents = brown.sents(categories='fiction')
unigram_tagger = nltk.UnigramTagger(brown_tagged_sents)
unigram_tagger.evaluate(brown_tagged_sents)
&gt;&gt;&gt; 0.9415956079897209

# Romance
brown_tagged_sents = brown.tagged_sents(categories='romance')
brown_sents = brown.sents(categories='romance')
unigram_tagger = nltk.UnigramTagger(brown_tagged_sents)
unigram_tagger.evaluate(brown_tagged_sents)
&gt;&gt;&gt; 0.9348490474422324
</code></pre>

<p>Why is it that the case? is it because they are from the same <code>corpus</code>? or are their <code>part-of-speech</code> tagging is the same?</p>
","9161607","","9161607","","2020-03-03 04:06:14","2020-03-03 15:45:19","Unigram tagging in NLTK","<nlp><nltk><stanford-nlp><allennlp>","1","2","","","","CC BY-SA 4.0"
"50043826","1","","","2018-04-26 13:08:52","","0","1536","<p>I am getting this error while importing allennlp,</p>

<pre><code>from allennlp.common.util import sanitize
ModuleNotFoundError: No module named 'allennlp.common'
(venv-kbs) administrator@NLR:~/aman/Project$ python
Python 3.6.3 (default, Oct  6 2017, 00:00:00)
[GCC 4.8.4] on linux
Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.
&gt;&gt;&gt; import allennlp
&gt;&gt;&gt; from allennlp.common.util import sanitize
Traceback (most recent call last):
File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
ModuleNotFoundError: No module named 'allennlp.common'
</code></pre>

<p>My allennlp version is 0.2.1 and even trying to update to 0.4.1 it gives the same error. </p>

<p>TIA</p>
","8922846","","7483494","","2019-08-22 19:04:21","2019-08-22 19:04:21","ModuleNotFoundError: No module named 'allennlp.common'","<python-3.x><nlp><allennlp>","1","0","1","","","CC BY-SA 3.0"
"69597860","1","","","2021-10-16 17:10:51","","0","15","<p>Does anyone know how to change the tokenizer in <a href=""https://demo.allennlp.org/coreference-resolution"" rel=""nofollow noreferrer"">AllenNLP's coreference resolution</a>? By default, it uses SpaCy and I would like to use a white space tokenizer so as to tokenize only words, not punctuation.</p>
<p>This is what I have tried so far but it does not seem to work:</p>
<pre><code>review = &quot;&quot;&quot;Judging from previous posts this used to be a good place, but not any longer.
        We, there were four of us, arrived at noon - the place was empty - 
        and the staff acted like we were imposing on them and they were very rude. 
        They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
        The food was lousy - too sweet or too salty and the portions tiny.
        After all that, they complained to me about the small tip.
        Avoid this place!&quot;&quot;&quot;

from allennlp.data.tokenizers.whitespace_tokenizer import WhitespaceTokenizer
from allennlp.predictors.predictor import Predictor

predictor = Predictor.from_path(&quot;https://storage.googleapis.com/allennlp-public-models/coref-spanbert-large-2020.02.27.tar.gz&quot;)
predictor._tokenizer = WhitespaceTokenizer()

pred = predictor.predict(document=review)

# expected output: 'Judging', 'from', 'previous', 'posts', 'this', 'used', 'to', 'be', 'a', 'good', 'place,', 'but', 'not', 'any', 'longer.'
print(pred['document'])
</code></pre>
<p>I found the documentation on tokenizers <a href=""http://docs.allennlp.org/main/api/data/tokenizers/whitespace_tokenizer/"" rel=""nofollow noreferrer"">here</a>, but I don't know if it is possible to use them on other models like on coreference resolution.</p>
","17169225","","","","","2021-10-16 17:10:51","Is there a way to change the tokenizer in AllenNLP's coreference resolution model?","<nlp><tokenize><allennlp><coreference-resolution>","0","1","","","","CC BY-SA 4.0"
"69178847","1","69196743","","2021-09-14 13:37:00","","1","41","<p>The goal is to train <a href=""https://paperswithcode.com/lib/allennlp/srl-bert"" rel=""nofollow noreferrer"">BERT SRL</a> on another data set. According to <a href=""https://raw.githubusercontent.com/allenai/allennlp-models/v2.1.0/training_config/structured_prediction/bert_base_srl.jsonnet"" rel=""nofollow noreferrer"">configuration</a>, it requires <code>conll-formatted-ontonotes-5.0</code>.</p>
<p>Natively, my data comes in a CoNLL format and I converted it to the conll-formatted-ontonotes-5.0 format of the <a href=""https://github.com/ontonotes/conll-formatted-ontonotes-5.0"" rel=""nofollow noreferrer"">GitHub edition of OntoNotes v.5.0</a>. Reading the data works and training <em>seems</em> to work, except that precision remains at 0. I suspect that either the encoding of SRL arguments (BOI or phrasal?) or the column structure (other OntoNotes editions in CoNLL format differ here) differ from the expected input. Alternatively, the error may arise because if the role labels are hard-wired in the code. I followed the reference data in using the long form (<code>ARGM-TMP</code>), but you often see the short form (<code>AM-TMP</code>) in other data.</p>
<p>The question is <em>which</em> dataset and format is expected here. I guess it's one of the CoNLL/Skel formats for OntoNotes 5.0 with a restored WORD column, <em>but</em></p>
<ul>
<li><p>The CoNLL edition doesn't seem to be shipped with the <a href=""https://catalog.ldc.upenn.edu/LDC2013T19"" rel=""nofollow noreferrer"">LDC edition of OntoNotes</a></p>
</li>
<li><p>It does not seem to be the format of the &quot;conll-formatted-ontonotes-5.0&quot; edition of OntoNotes v.5.0 on <a href=""https://github.com/ontonotes/conll-formatted-ontonotes-5.0"" rel=""nofollow noreferrer"">GitHub</a> provided by the OntoNotes creators.</p>
</li>
<li><p>There is at least one other CoNLL/Skel edition of OntoNotes 5.0 data as part of <a href=""https://github.com/propbank/propbank-release/blob/master/data/ontonotes/nw/wsj/00/wsj_0001.gold_skel"" rel=""nofollow noreferrer"">PropBank</a>. This differs from the other one in leaving out 3 columns and in the encoding of predicates. (For parts of my data, this is the native format.)</p>
</li>
<li><p>The <a href=""https://docs.allennlp.org/models/main/models/structured_prediction/dataset_readers/srl/"" rel=""nofollow noreferrer"">SrlReader</a> documentation mentions BIO (IOBES) encoding. This has been used in other CoNLL editions of PropBank data, indeed, but <em>not</em> in the above-mentioned OntoNotes corpora. Other such formats are the CoNLL-2008 and CoNLL-2009 formats, for example, and different variants.</p>
</li>
</ul>
<p>Before I start reverse-engineering the SrlReader, does anyone have a data snippet at hand so that I can prepare my data accordingly?</p>
<p><a href=""https://github.com/ontonotes/conll-formatted-ontonotes-5.0"" rel=""nofollow noreferrer""><code>conll-formatted-ontonotes-5.0</code></a> version of my data (sample from EWT corpus):</p>
<pre><code>google/ewt/answers/00/20070404104007AAY1Chs_ans.xml 0   0   where   WRB (TOP(S(SBARQ(WHADVP*)   -   -   -   -   *   (ARGM-LOC*) *   *   -
google/ewt/answers/00/20070404104007AAY1Chs_ans.xml 0   1   can MD  (SQ*    -   -   -   -   *   (ARGM-MOD*) *   *   -
google/ewt/answers/00/20070404104007AAY1Chs_ans.xml 0   2   I   PRP (NP*)   -   -   -   -   *   (ARG0*) *   *   -
google/ewt/answers/00/20070404104007AAY1Chs_ans.xml 0   3   get VB  (VP*    get 01  -   -   *   (V*)    *   *   -
google/ewt/answers/00/20070404104007AAY1Chs_ans.xml 0   4   morcillas   NNS (NP*)   -   -   -   -   *   (ARG1*) *   *   -
</code></pre>
","6427741","","6427741","","2021-09-14 13:52:54","2021-09-15 16:27:04","AllenNLP BERT SRL input format (""OntoNotes v. 5.0 formatted"")","<allennlp><conll><srl>","1","2","","","","CC BY-SA 4.0"
